Station,Disag_factors,Dist_Type,K,t0,m,n
INMET_conv,original,Gumbel,859.903,11.827,0.1426,0.7579
INMET_conv,original,GenLogistic,872.81,11.827,0.1251,0.7579
INMET_conv,original,GEV,888.13,11.827,0.1177,0.7579
INMET_conv,p_20,Gumbel,1031.88,11.827,0.1426,0.7579
INMET_conv,p_20,GenLogistic,1047.37,11.827,0.1251,0.7579
INMET_conv,p_20,GEV,1065.76,11.827,0.1177,0.7579
INMET_conv,m_20,Gumbel,687.92,11.827,0.1426,0.7579
INMET_conv,m_20,GenLogistic,698.25,11.827,0.1251,0.7579
INMET_conv,m_20,GEV,710.51,11.827,0.1177,0.7579
INMET_conv,opt,Gumbel,979.615,12.7529,0.1426,0.7882
INMET_conv,opt,GenLogistic,994.32,12.7529,0.1251,0.7882
INMET_conv,opt,GEV,1011.78,12.7529,0.1177,0.7882
INMET_aut,original,Gumbel,835.016,11.827,0.1815,0.7579
INMET_aut,original,GenLogistic,834.86,11.827,0.1815,0.7579
INMET_aut,original,GEV,820.26,11.827,0.1933,0.7579
INMET_aut,p_20,Gumbel,1002.02,11.827,0.1815,0.7579
INMET_aut,p_20,GenLogistic,1001.83,11.827,0.1815,0.7579
INMET_aut,p_20,GEV,984.31,11.827,0.1933,0.7579
INMET_aut,m_20,Gumbel,668.013,11.827,0.1815,0.7579
INMET_aut,m_20,GenLogistic,667.89,11.827,0.1815,0.7579
INMET_aut,m_20,GEV,656.2,11.827,0.1933,0.7579
INMET_aut,opt,Gumbel,951.263,12.753,0.1815,0.7882
INMET_aut,opt,GenLogistic,951.09,12.753,0.1815,0.7882
INMET_aut,opt,GEV,934.45,12.753,0.1933,0.7882
Base_IDF,original,Gumbel,819.67,10.77,0.138,0.75
Average,original,GenLogistic,904.85,12.35,0.1587,0.773
