Station,Disag_factors,Dist_Type,K,t0,m,n
INMET_aut,_nan,Gumbel,789.54,3.61,0.259,0.7769
INMET_aut,_nan,GenLogistic,810.48,-0.8,0.1549,0.7597
INMET_aut,_nan,Normal,830.6,1.276,0.16026,0.7681
INMET_aut,_ger,GenLogistic,824.15,11.99,0.1866,0.760158
INMET_aut,_ger,Normal,847.8138,11.99,0.1697,0.7601
INMET_aut,_m0.2,GenLogistic,689.319,11.99,0.1866,0.760158
INMET_aut,_m0.2,Normal,678.25,11.99,0.1697,0.7601
INMET_aut,_p0.2,GenLogistic,988.986,11.99,0.1866,0.7601
INMET_aut,_p0.2,Normal,1017.38,11.99,0.1697,0.7601
INMET_aut,_otimizado,GenLogistic,942.35,12.937,0.1866,0.791
INMET_aut,_otimizado,Normal,969.4,12.937,0.1697,0.791
INMET_conv,_ger,GenLogistic,885.615,11.99,0.1251,0.7601
INMET_conv,_ger,Normal,939.456,11.99,0.0959,0.7601
INMET_conv,_m0.2,GenLogistic,708.49,11.99,0.1251,0.7601
INMET_conv,_m0.2,Normal,751.56,11.99,0.0959,0.7601
INMET_conv,_p0.2,GenLogistic,1062.73,11.99,0.1251,0.7601
INMET_conv,_p0.2,Normal,1127.35,11.99,0.0959,0.7601
INMET_aut,_bl,Normal,3045.24,30.39,0.1024,0.9176
INMET_aut,_bl,Gumbel,2349.84,23.2136,0.1292,0.8916
INMET_aut,_bl,GEV,3014.72,30.09,0.203,0.9256
INMET_aut,_bl,GenLogistic,2505.12,29.75,0.1957,0.9012
INMET_conv,_bl,Normal,4416.2248,48.94,0.0437,0.9641
INMET_conv,_bl,Gumbel,3981.86,46.029,0.0826,0.9591
INMET_conv,_bl,GEV,10379.57,70.519,-0.062233,1.0844
INMET_conv,_bl,GenLogistic,3630.7199,40.62,0.0575,0.9433
HADGEM_EQM_baseline,_bl,GEV,2563.95,16.33,0.08136,0.892167
HADGEM_EQM_baseline,_bl,Normal,2532.78,17.01713,0.11107,0.89565
HADGEM_EQM_baseline,_bl,GenLogistic,2175.53,14.3473,0.111169,0.877533
HADGEM_EQM_baseline,_ger,GEV,1178.3503,15.7655,0.117356,0.8077136
HADGEM_EQM_baseline,_ger,Lognormal,1145.81,15.7745,0.13717,0.807979
HADGEM_EQM_baseline,_ger,GenLogistic,1144.3847,15.76467,0.13695,0.807647
HADGEM_EQM_baseline,_m0.2,GEV,942.69306,15.7656,0.117349,0.8077147
HADGEM_EQM_baseline,_m0.2,Lognormal,915.224,15.76547,0.1374977,0.8077129
HADGEM_EQM_baseline,_m0.2,GenLogistic,915.45587,15.7627,0.1369457,0.807647
HADGEM_EQM_baseline,_p0.2,GEV,1414.00415,15.7653089,0.1173554,0.80771163
HADGEM_EQM_baseline,_p0.2,Lognormal,1372.83387,15.763253,0.1372128,0.80765451
HADGEM_EQM_baseline,_p0.2,GenLogistic,1373.2606,15.7646568,0.136956,0.8076469
MIROC5_EQM_baseline,_bl,GEV,2566.105651,16.7054,0.08158,0.8959
MIROC5_EQM_baseline,_bl,Lognormal,2109.8895,2.04459,-0.57326,0.82498
MIROC5_EQM_baseline,_bl,GenLogistic,2306.2706,15.84082,0.116939,0.88961
MIROC5_EQM_baseline,_bl,Gumbel,2433.7487,18.00959,0.175385,0.905779
