Site,Test_Type,Tau,p_value,Trend,h,z,s,var_s,Slope,Intercept
inmet,Original,0.13333333333333333,0.49946120310401465,no trend,False,0.6753377533361223,16.0,493.3333333333333,23.299999999999997,1200.95
inmet,Hamed-Rao,0.13333333333333333,0.49946120310401465,no trend,False,0.6753377533361223,16.0,493.3333333333333,23.299999999999997,1200.95
inmet,Yue-Wang,0.13333333333333333,0.2248385349114188,no trend,False,1.2137622254957612,16.0,152.72681095125515,23.299999999999997,1200.95
inmet,Trend-Free,-0.06666666666666667,0.7665252995235718,no trend,False,-0.2969229955832361,-7.0,408.3333333333333,23.299999999999997,1200.95
inmet,Pre-Whitening,-0.06666666666666667,0.7665252995235718,no trend,False,-0.2969229955832361,-7.0,408.3333333333333,23.299999999999997,1200.95
jardim,Original,-0.3333333333333333,0.4523703606773608,no trend,False,-0.7514691493021795,-5.0,28.333333333333332,-105.20000000000005,1392.1
jardim,Hamed-Rao,-0.3333333333333333,0.4523703606773608,no trend,False,-0.7514691493021795,-5.0,28.333333333333332,-105.20000000000005,1392.1
jardim,Yue-Wang,-0.3333333333333333,0.13064397449292064,no trend,False,-1.5115673046751545,-5.0,7.00269165262738,-105.20000000000005,1392.1
jardim,Trend-Free,-0.4,0.4624327264504764,no trend,False,-0.7348469228349533,-4.0,16.666666666666668,-105.20000000000005,1392.1
jardim,Pre-Whitening,-0.8,0.08641073297370006,no trend,False,-1.7146428199482247,-8.0,16.666666666666668,-105.20000000000005,1392.1
