Site,Test_Type,Tau,p_value,Trend,h,z,s,var_s,Slope,Intercept
inmet_aut,Original,-0.01282051282051282,1.0,no trend,False,0.0,-1.0,267.6666666666667,-0.05999999999999943,66.76
inmet_aut,Hamed-Rao,-0.01282051282051282,1.0,no trend,False,0.0,-1.0,267.6666666666667,-0.05999999999999943,66.76
inmet_aut,Yue-Wang,-0.01282051282051282,1.0,no trend,False,0.0,-1.0,38.62486265029902,-0.05999999999999943,66.76
inmet_aut,Trend-Free,-0.2727272727272727,0.24372228477217428,no trend,False,-1.1657333182503609,-18.0,212.66666666666666,-0.05999999999999943,66.76
inmet_aut,Pre-Whitening,-0.24242424242424243,0.303673214899419,no trend,False,-1.0285882219856124,-16.0,212.66666666666666,-0.05999999999999943,66.76
inmet_conv,Original,0.12507305669199298,0.1636377661923678,no trend,False,1.3929405589649964,214.0,23382.666666666668,0.2037037037037037,73.7925925925926
inmet_conv,Hamed-Rao,0.12507305669199298,0.08560477778272801,increasing,True,1.7190526923318459,214.0,15352.560912043342,0.2037037037037037,73.7925925925926
inmet_conv,Yue-Wang,0.12507305669199298,0.00023504444975142036,increasing,True,3.678027688151484,214.0,3353.738668638135,0.2037037037037037,73.7925925925926
inmet_conv,Trend-Free,0.10344827586206896,0.2541373466350716,no trend,False,1.1403576075048807,171.0,22223.666666666668,0.2037037037037037,73.7925925925926
inmet_conv,Pre-Whitening,0.10949788263762855,0.22726371386601052,no trend,False,1.2074374667698737,181.0,22223.666666666668,0.2037037037037037,73.7925925925926
