Site,Test_Type,Tau,p_value,Trend,h,z,s,var_s,Slope,Intercept
inmet_aut,Original,0.13333333333333333,0.49946120310401465,no trend,False,0.6753377533361223,16.0,493.3333333333333,23.299999999999997,1200.95
inmet_aut,Hamed-Rao,0.13333333333333333,0.49946120310401465,no trend,False,0.6753377533361223,16.0,493.3333333333333,23.299999999999997,1200.95
inmet_aut,Yue-Wang,0.13333333333333333,0.2248385349114188,no trend,False,1.2137622254957612,16.0,152.72681095125515,23.299999999999997,1200.95
inmet_aut,Trend-Free,-0.06666666666666667,0.7665252995235718,no trend,False,-0.2969229955832361,-7.0,408.3333333333333,23.299999999999997,1200.95
inmet_aut,Pre-Whitening,-0.06666666666666667,0.7665252995235718,no trend,False,-0.2969229955832361,-7.0,408.3333333333333,23.299999999999997,1200.95
inmet_conv,Original,-0.07191961924907457,0.4121838924089718,no trend,False,-0.82005651122764,-136.0,27100.666666666668,-2.8314285714285754,1538.4085714285716
inmet_conv,Hamed-Rao,-0.07191961924907457,0.4121838924089718,no trend,False,-0.82005651122764,-136.0,27100.666666666668,-2.8314285714285754,1538.4085714285716
inmet_conv,Yue-Wang,-0.07191961924907457,0.2707981097045127,no trend,False,-1.101226456923839,-136.0,15028.452516559739,-2.8314285714285754,1538.4085714285716
inmet_conv,Trend-Free,-0.17158469945355193,0.051442213736297315,decreasing,True,-1.947772307382055,-314.0,25823.333333333332,-2.8314285714285754,1538.4085714285716
inmet_conv,Pre-Whitening,-0.15081967213114755,0.08702546074779893,decreasing,True,-1.7113015480193774,-276.0,25823.333333333332,-2.8314285714285754,1538.4085714285716
