Year,Precipitation
1961,67.8
1962,93.3
1963,72.10000000000001
1964,65.5
1965,111.6
1966,69.4
1967,64.7
1968,88.7
1969,72.6
1970,80.7
1971,58.7
1972,88.6
1973,68.8
1974,66.9
1975,65.0
1976,89.2
1977,81.4
1978,72.1
1979,79.7
1980,85.19999999999999
1981,63.3
1982,80.1
1983,105.9
1984,69.0
1986,72.2
1987,76.2
1988,112.8
1989,92.8
1990,71.0
1991,83.4
1992,57.5
1993,100.8
1994,66.8
1995,108.3
1996,105.4
1997,78.5
1998,76.0
1999,77.4
2000,93.6
2001,82.4
2002,115.6
2003,91.5
2004,126.7
2005,95.6
2006,74.6
2007,68.9
2008,45.2
2009,75.3
2010,97.0
2011,100.7
2012,80.80000000000001
2013,110.9
2014,85.4
2015,72.6
2016,110.6
2017,49.3
2018,63.400000000000006
2019,56.0
2020,106.3
