Year,Max_1h,Max_3h,Max_6h,Max_8h,Max_10h,Max_12h,Max_24h
2006,2.4,2.4,2.6,2.6,2.6,2.6,2.6
2007,27.0,32.4,34.6,42.2,47.0,47.8,90.2
2008,27.8,40.0,44.0,44.0,44.0,44.199999999999996,45.6
2009,46.4,59.6,61.0,70.4,71.39999999999999,72.0,99.2
2010,26.6,58.2,62.400000000000006,64.0,67.2,70.39999999999999,95.2
2011,53.8,80.19999999999999,96.8,96.80000000000001,97.20000000000002,97.20000000000002,98.80000000000001
2012,52.4,55.4,56.4,57.199999999999996,59.39999999999999,59.39999999999999,65.2
2013,44.0,71.8,85.0,92.6,100.39999999999999,110.39999999999999,115.4
2014,26.6,47.2,49.8,52.400000000000006,52.400000000000006,52.400000000000006,81.39999999999999
2015,38.8,69.0,69.4,69.4,69.4,69.60000000000001,69.60000000000001
2016,32.0,53.2,70.2,80.2,90.4,97.4,140.4
2017,39.8,53.199999999999996,57.4,57.599999999999994,57.6,57.8,81.2
2018,42.0,47.6,64.0,64.2,64.2,64.2,74.80000000000001
2019,34.8,41.0,42.4,46.8,60.0,61.199999999999996,86.2
2020,62.0,70.8,77.2,77.2,77.2,77.2,113.6
2021,9.0,10.4,10.6,10.6,10.6,10.6,10.6
