Year,Precipitation,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1h,Max_6h,Max_8h,Max_10h,Max_12h,Max_24h
2007,62.0,7.46889696,11.86236576,15.3771408,17.793548639999997,19.990283039999998,21.967344,29.6856,50.8896,55.1304,57.9576,60.077999999999996,70.67999999999999
2008,44.0,5.30050752,8.41845312,10.9128096,12.62767968,14.18665248,15.589728000000001,21.0672,36.1152,39.1248,41.1312,42.635999999999996,50.16
2009,99.2,11.950235136,18.979785216,24.60342528,28.469677823999998,31.984452863999998,35.1477504,47.49696,81.42336,88.20864,92.73216,96.1248,113.088
2010,69.6,8.384439168,13.316462207999999,17.262080639999997,19.974693311999996,22.440704831999998,24.6601152,33.324479999999994,57.12767999999999,61.88831999999999,65.06208,67.44239999999999,79.34399999999998
2011,98.8,11.902048704,18.903253824,24.50421792,28.354880736,31.855483295999996,35.0060256,47.30544,81.09504,87.85296,92.35824,95.7372,112.63199999999999
2012,56.4,6.794286912,10.790926272,13.98823776,16.186389408,18.184709087999998,19.9831968,27.00432,46.293119999999995,50.15088,52.722719999999995,54.651599999999995,64.29599999999999
2013,85.2,10.263710016000001,16.301186496,21.13116768,24.451779744,27.470517983999997,30.1873824,40.79376,69.93216,75.75984,79.64496,82.5588,97.128
2014,65.60000000000001,7.902574848000001,12.551148288000002,16.270007040000003,18.826722432,21.151009152,23.242867200000003,31.409280000000003,53.844480000000004,58.331520000000005,61.322880000000005,63.56640000000001,74.784
2015,69.0,8.31215952,13.20166512,17.1132696,19.80249768,22.247250479999998,24.447528000000002,33.0372,56.6352,61.3548,64.5012,66.861,78.66
2017,62.0,7.46889696,11.86236576,15.3771408,17.793548639999997,19.990283039999998,21.967344,29.6856,50.8896,55.1304,57.9576,60.077999999999996,70.67999999999999
2018,59.2,7.131591936,11.326646016,14.68268928,16.989969024,19.087496064,20.975270400000003,28.34496,48.59136,52.640640000000005,55.34016,57.3648,67.488
2019,66.4,7.9989477120000005,12.704211072000001,16.468421760000002,19.056316608,21.408948288,23.526316800000004,31.792320000000004,54.50112,59.042880000000004,62.07072,64.3416,75.696
2020,78.6,9.468633888,15.038418528,19.49424624,22.557627791999998,25.342520111999995,27.848923199999998,37.63368,64.51487999999999,69.89112,73.47528,76.1634,89.60399999999998
