Year,Month,Day,Precipitation
2016,1,1,1.6
2016,1,2,32.0
2016,1,3,21.0
2016,1,4,0.2
2016,1,5,0.2
2016,1,6,0.0
2016,1,7,0.0
2016,1,8,0.0
2016,1,9,18.8
2016,1,10,20.0
2016,1,11,23.2
2016,1,12,126.4
2016,1,13,36.4
2016,1,14,32.2
2016,1,15,50.0
2016,1,16,0.6000000000000001
2016,1,17,0.0
2016,1,18,0.0
2016,1,19,0.6000000000000001
2016,1,20,0.0
2016,1,21,0.0
2016,1,22,0.0
2016,1,23,4.6
2016,1,24,22.799999999999997
2016,1,25,4.2
2016,1,26,0.0
2016,1,27,0.4
2016,1,28,0.0
2016,1,29,1.2000000000000002
2016,1,30,3.4
2016,1,31,0.0
2016,2,1,0.0
2016,2,2,0.0
2016,2,3,0.0
2016,2,4,0.0
2016,2,5,7.4
2016,2,6,0.0
2016,2,7,22.6
2016,2,8,4.0
2016,2,9,0.0
2016,2,10,0.0
2016,2,11,23.0
2016,2,12,2.0
2016,2,13,0.0
2016,2,14,0.0
2016,2,15,0.0
2016,2,16,58.0
2016,2,17,0.0
2016,2,18,43.199999999999996
2016,2,19,0.6
2016,2,20,3.2
2016,2,21,1.0
2016,2,22,0.2
2016,2,23,20.8
2016,2,24,22.4
2016,2,25,3.0
2016,2,26,0.6000000000000001
2016,2,27,1.4000000000000001
2016,2,28,22.200000000000003
2016,2,29,9.4
2016,3,1,2.0
2016,3,2,4.2
2016,3,3,1.0
2016,3,4,26.2
2016,3,5,1.0
2016,3,6,1.0
2016,3,7,0.0
2016,3,8,0.0
2016,3,9,0.0
2016,3,10,37.2
2016,3,11,46.800000000000004
2016,3,12,0.0
2016,3,13,0.0
2016,3,14,0.0
2016,3,15,1.4000000000000001
2016,3,16,13.6
2016,3,17,18.4
2016,3,18,0.0
2016,3,19,0.0
2016,3,20,0.0
2016,3,21,0.0
2016,3,22,0.0
2016,3,23,18.6
2016,3,24,0.4
2016,3,25,4.2
2016,3,26,0.4
2016,3,27,5.4
2016,3,28,0.2
2016,3,29,0.0
2016,3,30,0.0
2016,3,31,0.0
2016,4,1,0.0
2016,4,2,0.0
2016,4,3,0.0
2016,4,4,0.0
2016,4,5,0.0
2016,4,6,0.0
2016,4,7,0.0
2016,4,8,0.0
2016,4,9,0.0
2016,4,10,0.0
2016,4,11,0.0
2016,4,12,0.0
2016,4,13,0.0
2016,4,14,0.0
2016,4,15,0.0
2016,4,16,0.0
2016,4,17,0.0
2016,4,18,0.0
2016,4,19,0.0
2016,4,20,0.0
2016,4,21,0.0
2016,4,22,0.0
2016,4,23,0.0
2016,4,24,0.0
2016,4,25,0.0
2016,4,26,1.8
2016,4,27,5.6000000000000005
2016,4,28,0.2
2016,4,29,0.0
2016,4,30,0.2
2016,5,1,0.0
2016,5,2,0.0
2016,5,3,0.0
2016,5,4,0.0
2016,5,5,0.0
2016,5,6,0.0
2016,5,7,0.0
2016,5,8,0.0
2016,5,9,0.0
2016,5,10,4.8
2016,5,11,0.2
2016,5,12,0.0
2016,5,13,0.0
2016,5,14,0.0
2016,5,15,0.0
2016,5,16,36.4
2016,5,17,3.8000000000000003
2016,5,18,0.2
2016,5,19,0.0
2016,5,20,0.0
2016,5,21,41.4
2016,5,22,0.2
2016,5,23,2.8
2016,5,24,0.0
2016,5,25,0.0
2016,5,26,0.0
2016,5,27,0.0
2016,5,28,0.0
2016,5,29,0.8
2016,5,30,13.799999999999999
2016,5,31,12.2
2016,6,1,18.2
2016,6,2,22.6
2016,6,3,26.8
2016,6,4,1.0
2016,6,5,0.6000000000000001
2016,6,6,16.6
2016,6,7,9.6
2016,6,8,0.2
2016,6,9,0.0
2016,6,10,0.0
2016,6,11,0.0
2016,6,12,0.0
2016,6,13,0.0
2016,6,14,0.0
2016,6,15,0.0
2016,6,16,0.0
2016,6,17,0.0
2016,6,18,0.0
2016,6,19,0.0
2016,6,20,0.0
2016,6,21,0.0
2016,6,22,0.4
2016,6,23,1.5999999999999999
2016,6,24,0.0
2016,6,25,0.0
2016,6,26,0.0
2016,6,27,0.0
2016,6,28,0.0
2016,6,29,0.0
2016,6,30,0.0
2016,7,6,0.0
2016,7,7,0.0
2016,7,8,0.0
2016,7,9,0.0
2016,7,10,0.0
2016,7,11,0.0
2016,7,12,0.0
2016,7,13,0.0
2016,7,14,0.0
2016,7,15,0.0
2016,7,16,1.4000000000000001
2016,7,17,0.4
2016,7,18,0.0
2016,7,19,0.0
2016,7,20,0.0
2016,7,21,0.0
2016,7,22,0.0
2016,7,23,0.0
2016,7,24,0.0
2016,7,25,0.0
2016,7,26,0.0
2016,7,27,0.0
2016,7,28,0.0
2016,7,29,0.0
2016,7,30,0.0
2016,7,31,0.0
2016,8,1,0.0
2016,8,2,0.0
2016,8,3,0.0
