Year,Month,Precipitation
2016,1,399.8
2016,2,245.0
2016,3,182.0
2016,4,7.800000000000001
2016,5,116.6
2016,6,97.6
2016,7,1.8
2016,8,55.2
2016,9,44.4
2016,10,197.0
2016,11,232.2
2016,12,226.4
2017,1,281.8
2017,2,330.4
2017,3,125.4
2017,4,138.2
2017,5,150.6
2017,6,9.0
2017,7,0.0
2017,8,19.8
2017,9,48.4
2017,10,107.60000000000001
2017,11,155.6
2017,12,312.2
2018,1,274.8
2018,2,124.4
2018,3,181.8
2018,4,23.8
2018,5,20.6
2018,6,6.6
2018,7,3.2
2018,8,82.2
2018,9,73.0
2018,10,301.8
2018,11,194.6
2018,12,143.6
2019,1,131.0
2019,2,204.8
2019,3,161.4
2019,4,187.4
2019,5,74.6
2019,6,7.4
2019,7,44.2
2019,8,20.6
2019,9,54.2
2019,10,90.8
2019,11,138.4
2019,12,181.2
2020,1,332.8
2020,2,323.0
2020,3,120.4
2020,4,7.4
2020,5,23.400000000000002
2020,6,21.0
2020,7,1.0
2020,8,17.0
2020,9,17.2
2020,10,49.6
2020,11,119.60000000000001
2020,12,408.8
2021,1,117.8
