Year,Month,Precipitation
2016,1,445.40000000000003
2016,2,157.20000000000002
2016,3,184.0
2016,4,20.6
2016,5,142.20000000000002
2016,6,116.60000000000001
2016,7,1.8
2016,8,47.6
2016,9,16.6
2016,10,152.0
2016,11,185.0
2016,12,237.0
2017,1,226.0
2017,2,274.4
2017,3,193.6
2017,4,119.60000000000001
2017,5,142.6
2017,6,8.0
2017,7,0.0
2017,8,19.0
2017,9,60.0
2017,10,139.8
2017,11,221.2
2017,12,72.8
2018,1,201.0
2018,2,119.60000000000001
2018,3,213.6
2018,4,14.6
2018,5,33.0
2018,8,98.2
2018,9,0.0
2020,3,96.4
2020,4,6.4
2020,5,0.0
