Date,P_av,P_jdsp,P_inmet_aut,P_inmet_conv,P_maplu_esc,P_average,Pacum_P_av,Pacum_P_jdsp,Pacum_P_inmet_aut,Pacum_P_inmet_conv,Pacum_P_maplu_esc,Pacum_P_average
2016-01-01,1.6,1.2000000000000002,1.7999999999999998,8.299999999999999,6.0,3.78,1.6,1.2000000000000002,1.7999999999999998,8.299999999999999,6.0,3.78
2016-01-03,21.0,33.8,37.6,35.6,28.4,31.28,22.6,35.0,39.4,43.9,34.4,35.06
2016-01-04,0.2,0.2,2.0,3.5,0.2,1.2200000000000002,22.8,35.2,41.4,47.4,34.6,36.28
2016-01-05,0.2,0.0,0.0,0.0,0.0,0.04,23.0,35.2,41.4,47.4,34.6,36.32
2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.2,41.4,47.4,34.6,36.32
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.2,41.4,47.4,34.6,36.32
2016-01-08,0.0,0.0,0.4,0.0,0.8,0.24000000000000005,23.0,35.2,41.8,47.4,35.4,36.56
2016-01-09,18.8,24.4,28.0,14.8,14.6,20.119999999999997,41.8,59.6,69.8,62.2,50.0,56.68
2016-01-10,20.0,27.8,28.4,32.9,17.0,25.22,61.8,87.4,98.19999999999999,95.1,67.0,81.9
2016-01-11,23.2,12.8,18.2,25.6,16.400000000000002,19.240000000000002,85.0,100.2,116.39999999999999,120.69999999999999,83.4,101.14000000000001
2016-01-12,126.4,118.6,116.6,110.6,140.8,122.6,211.4,218.8,233.0,231.29999999999998,224.20000000000002,223.74
2016-01-13,36.4,35.2,36.4,50.0,39.6,39.519999999999996,247.8,254.0,269.4,281.29999999999995,263.8,263.26
2016-01-14,32.2,5.8,25.8,24.4,39.2,25.479999999999997,280.0,259.8,295.2,305.69999999999993,303.0,288.74
2016-01-15,50.0,54.4,55.6,41.2,52.8,50.8,330.0,314.2,350.8,346.8999999999999,355.8,339.54
2016-01-16,0.6000000000000001,0.2,2.8000000000000003,26.1,0.0,5.94,330.6,314.4,353.6,372.99999999999994,355.8,345.48
2016-01-17,0.0,0.0,0.0,0.0,0.0,0.0,330.6,314.4,353.6,372.99999999999994,355.8,345.48
2016-01-18,0.0,0.0,1.4,0.0,0.6000000000000001,0.4,330.6,314.4,355.0,372.99999999999994,356.40000000000003,345.88
2016-01-19,0.6000000000000001,0.2,0.0,0.0,6.800000000000001,1.52,331.20000000000005,314.59999999999997,355.0,372.99999999999994,363.20000000000005,347.4
2016-01-20,0.0,0.2,0.0,0.0,0.2,0.08,331.20000000000005,314.79999999999995,355.0,372.99999999999994,363.40000000000003,347.47999999999996
2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,331.20000000000005,314.79999999999995,355.0,372.99999999999994,363.40000000000003,347.47999999999996
2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,331.20000000000005,314.79999999999995,355.0,372.99999999999994,363.40000000000003,347.47999999999996
2016-01-23,4.6,24.0,1.8,0.0,4.2,6.92,335.80000000000007,338.79999999999995,356.8,372.99999999999994,367.6,354.4
2016-01-24,22.8,20.8,25.4,1.8,9.2,16.0,358.6000000000001,359.59999999999997,382.2,374.79999999999995,376.8,370.4
