Year,Month,Precipitation
1960,1,0.0
1960,2,0.0
1960,3,0.0
1960,4,0.0
1960,5,0.0
1960,6,0.0
1960,7,0.0
1960,8,0.0
1960,9,0.0
1960,10,0.0
1960,11,0.0
1960,12,0.0
1961,1,200.3
1961,2,282.4
1961,3,177.0
1961,4,53.1
1961,5,78.0
1961,6,5.0
1961,7,0.0
1961,8,18.0
1961,9,2.0
1961,10,70.3
1961,11,151.4
1961,12,244.8
1962,1,150.7
1962,2,294.1
1962,3,256.9
1962,4,37.2
1962,5,16.0
1962,6,81.7
1962,7,10.9
1962,8,53.5
1962,9,57.3
1962,10,246.0
1962,11,51.8
1962,12,452.6
1963,1,209.5
1963,2,141.8
1963,3,33.7
1963,4,34.4
1963,5,3.6
1963,6,0.0
1963,7,0.0
1963,8,11.8
1963,9,3.2
1963,10,129.0
1963,11,191.6
1963,12,124.1
1964,1,122.8
1964,2,303.8
1964,3,110.8
1964,4,25.8
1964,5,55.4
1964,6,18.7
1964,7,57.4
1964,8,6.6000000000000005
1964,9,69.69999999999999
1964,10,190.4
1964,11,126.4
1964,12,462.8
1965,1,326.7
1965,2,434.0
1965,3,167.1
1965,4,77.39999999999999
1965,5,98.6
1965,6,29.9
1965,7,47.6
1965,8,9.1
1965,9,36.2
1965,10,153.4
1965,11,182.9
1965,12,278.2
1966,1,134.5
1966,2,147.2
1966,3,167.5
1966,4,54.900000000000006
1966,5,65.9
1966,6,0.0
1966,7,15.0
1966,8,12.8
1966,9,84.1
1966,10,136.1
1966,11,202.5
1966,12,292.5
1967,1,370.0
1967,2,198.4
1967,3,213.2
1967,4,53.9
1967,5,36.3
1967,6,53.800000000000004
1967,7,4.9
1967,8,0.4
1967,9,83.7
1967,10,241.4
1967,11,142.4
1967,12,184.8
1968,1,346.0
1968,2,83.6
1968,3,101.3
1968,4,32.8
1968,5,15.7
1968,6,15.0
1968,7,3.5
1968,8,0.0
1968,9,0.0
1968,10,0.0
1968,11,0.0
1968,12,0.0
1969,1,0.0
1969,2,0.0
1969,3,0.0
1969,4,0.0
1969,5,0.0
1969,6,0.0
1969,7,0.0
1969,8,0.0
1969,9,0.0
1969,10,162.8
1969,11,200.5
1969,12,76.4
1970,1,284.5
1970,2,104.8
1970,3,76.0
1970,4,66.3
1970,5,46.7
1970,6,63.4
1970,7,4.9
1970,8,93.9
1970,9,97.8
1970,10,95.6
1970,11,186.9
1970,12,165.6
1971,1,86.8
1971,2,154.4
1971,3,156.1
1971,4,105.0
1971,5,79.1
1971,6,144.29999999999998
1971,7,33.9
1971,8,4.800000000000001
1971,9,68.1
1971,10,187.4
1971,11,120.7
1971,12,223.4
1972,1,458.3
1972,2,355.4
1972,3,93.0
1972,4,88.9
1972,5,82.5
1972,6,5.0
1972,7,171.2
1972,8,77.3
1972,9,71.1
1972,10,274.1
1972,11,255.1
1972,12,167.3
1973,1,135.1
1973,2,147.5
1973,3,117.6
1973,4,199.1
1973,5,97.7
1973,6,30.599999999999998
1973,7,33.2
1973,8,10.8
1973,9,66.10000000000001
1973,10,99.2
1973,11,139.3
1973,12,470.7
1974,1,422.6
1974,2,131.5
1974,3,444.1
1974,4,90.1
1974,5,4.3
1974,6,110.8
1974,7,0.0
1974,8,11.1
1974,9,12.2
1974,10,146.4
1974,11,63.8
1974,12,347.7
1975,1,218.1
1975,2,308.3
1975,3,60.0
1975,4,54.2
1975,5,13.0
1975,6,0.7
1975,7,21.3
1975,8,0.0
1975,9,89.8
1975,10,81.0
1975,11,257.4
1975,12,200.4
1976,1,207.5
1976,2,310.9
1976,3,312.7
1976,4,59.6
1976,5,147.0
1976,6,102.2
1976,7,76.3
1976,8,81.1
1976,9,125.4
1976,10,93.5
1976,11,129.4
1976,12,299.3
1977,1,274.1
1977,2,77.5
1977,3,245.70000000000002
1977,4,101.7
1977,5,16.599999999999998
1977,6,27.9
1977,7,9.2
1977,8,80.7
1977,9,76.6
1977,10,63.9
1977,11,225.8
1977,12,342.2
1978,1,231.0
1978,2,112.8
1978,3,132.1
1978,4,4.3
1978,5,73.89999999999999
1978,6,70.7
1978,7,142.7
1978,8,1.5
1978,9,68.10000000000001
1978,10,104.89999999999999
1978,11,244.6
1978,12,315.2
1979,1,167.1
1979,2,117.1
1979,3,77.6
1979,4,72.8
1979,5,100.8
1979,6,0.0
1979,7,0.0
1979,8,18.3
1979,9,53.2
1979,10,58.5
1979,11,15.1
1979,12,235.7
1980,1,172.5
1980,2,392.4
1980,3,109.6
1980,4,72.3
1980,5,4.9
1980,6,109.89999999999999
1980,7,0.1
1980,8,16.0
1980,9,37.2
1980,10,15.299999999999999
1980,11,82.4
1980,12,298.1
1981,1,219.2
1981,2,34.3
1981,3,75.4
1981,4,30.1
1981,5,41.6
1981,6,102.3
1981,7,0.0
1981,8,25.6
1981,9,10.2
1981,10,181.3
1981,11,210.79999999999998
1981,12,247.3
1982,1,274.0
1982,2,208.4
1982,3,327.7
1982,4,60.0
1982,5,54.1
1982,6,57.2
1982,7,22.9
1982,8,21.7
1982,9,9.7
1982,10,237.0
1982,11,142.5
1982,12,277.2
1983,1,413.8
1983,2,218.0
1983,3,267.3
1983,4,93.5
1983,5,193.8
1983,6,76.7
1983,7,52.400000000000006
1983,8,0.0
1983,9,237.5
1983,10,226.7
1983,11,171.7
1983,12,483.5
1984,1,115.9
1984,2,41.5
1984,3,79.9
1984,4,42.8
1984,5,49.4
1984,6,0.0
1984,7,0.7
1984,8,120.69999999999999
1984,9,103.5
1984,10,34.7
1984,11,115.9
1984,12,247.7
1985,1,0.0
1985,2,0.0
1985,3,0.0
1985,4,0.0
1985,5,0.0
1985,6,0.0
1985,7,0.0
1985,8,0.0
1985,9,0.0
1985,10,0.0
1985,11,0.0
1985,12,0.0
1986,1,99.2
1986,2,255.4
1986,3,259.3
1986,4,45.300000000000004
1986,5,54.2
1986,6,0.0
1986,7,36.5
1986,8,99.9
1986,9,20.900000000000002
1986,10,55.9
1986,11,111.2
1986,12,414.8
1987,1,395.5
1987,2,96.5
1987,3,122.8
1987,4,133.8
1987,5,193.4
1987,6,23.1
1987,7,18.6
1987,8,7.4
1987,9,89.7
1987,10,83.1
1987,11,213.0
1987,12,184.9
1988,1,272.09999999999997
1988,2,163.8
1988,3,309.0
1988,4,84.6
1988,5,72.2
1988,6,10.200000000000001
1988,7,0.0
1988,8,0.0
1988,9,11.1
1988,10,164.3
1988,11,96.8
1988,12,135.4
1989,1,376.4
1989,2,197.8
1989,3,189.8
1989,4,52.7
1989,5,34.1
1989,6,40.800000000000004
1989,7,110.5
1989,8,31.9
1989,9,121.2
1989,10,39.9
1989,11,186.8
1989,12,272.6
1990,1,399.1
1990,2,193.5
1990,3,182.4
1990,4,147.7
1990,5,58.2
1990,6,6.5
1990,7,30.500000000000004
1990,8,68.0
1990,9,48.0
1990,10,99.1
1990,11,116.8
1990,12,240.5
1991,1,182.2
1991,2,146.2
1991,3,354.2
1991,4,168.79999999999998
1991,5,40.1
1991,6,8.4
1991,7,36.2
1991,8,0.0
1991,9,47.4
1991,10,159.5
1991,11,35.0
1991,12,274.9
1992,1,72.30000000000001
1992,2,194.4
1992,3,213.0
1992,4,60.0
1992,5,119.4
1992,6,0.0
1992,7,49.5
1992,8,56.400000000000006
1992,9,111.8
1992,10,199.3
1992,11,110.5
1992,12,164.7
1993,1,191.9
1993,2,441.90000000000003
