Year,Precipitation
1960,0.0
1961,1282.3
1962,1708.7
1963,882.7
1964,1550.6
1965,1841.1
1966,1313.0
1967,1583.2
1968,597.9
1969,439.7
1970,1286.4
1971,1364.0
1972,2099.2
1973,1546.9
1974,1784.6
1975,1304.2
1976,1944.9
1977,1541.9
1978,1501.8
1979,916.2
1980,1310.7
1981,1178.1
1982,1692.4
1983,2434.9
1984,952.7
1985,0.0
1986,1452.6
1987,1561.8
1988,1319.5
1989,1654.5
1990,1590.3
1991,1452.9
1992,1351.3
1993,1872.7
1994,1451.5
1995,1808.5
1996,1869.2
1997,1633.1
1998,1652.4
1999,1397.8
2000,1719.4
2001,1462.8
2002,1484.1
2003,1176.2
2004,1601.6
2005,1630.2
2006,1326.3
2007,1388.0
2008,1073.8
2009,2102.5
2010,1218.0
2011,1773.7
2012,1546.4
2013,1521.1
2014,1111.4
2015,1371.5
2016,1405.4
2017,979.2
2018,945.4
2019,862.7
2020,598.8
2021,0.0
