i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
123.44138534458946,141.5978041422145,157.0865309524968,180.19165761222953,199.90198698601455,221.76833783810318,5
99.71199588936383,114.37816924330463,126.88946648553085,145.55304748867036,161.47442001710172,179.13735761450786,10
84.49545189763481,96.92349462305843,107.52550599469421,123.34093218110958,136.8326244757164,151.800110391739,15
73.80321100831212,84.6585817896409,93.9189912531148,107.73309851934354,119.51752230684397,132.5909895351443,20
59.615871551388594,68.38449260866899,75.86475496507984,87.02334865130636,96.54242898974354,107.1027573598176,30
47.068628087315325,53.99173350611247,59.89763872375154,68.70770360289576,76.2233205103322,84.56103588034868,45
39.35596131768568,45.1446464808691,50.08280989749012,57.449257288875685,63.73336499090843,70.70486207749279,60
30.203853258179354,34.646397446472946,38.436206110948525,44.08960876188373,48.91236649758406,54.262663325383706,90
24.860413853766868,28.51701641174403,31.636360523904298,36.289605538136755,40.259157111610165,44.662919513798876,120
18.75890727128447,21.51806762623736,23.871829204441152,27.383025447834633,30.378327549938863,33.70127185140349,180
15.302515388703132,17.55329114983707,19.473364225038925,22.33761072779411,24.781018323364915,27.49169893890399,240
11.439752736357649,13.122372718649432,14.55776818521845,16.69900254670687,18.52562895533661,20.55206155163363,360
6.909012300916012,7.925226761432614,8.792130545435377,10.085324103338955,11.188510913163231,12.412370209553146,720
4.151886543260092,4.7625682094551,5.283523448545516,6.060652319799464,6.723598956875819,7.459062250645228,1440
