Year,Month,Precipitation
1961,1,254.4
1961,2,335.0
1961,3,147.9
1961,4,78.2
1961,5,64.8
1961,6,30.5
1961,7,0.4
1961,8,13.8
1961,9,4.0
1961,10,178.8
1961,11,124.69999999999999
1961,12,186.6
1962,1,109.80000000000001
1962,2,205.3
1962,3,245.2
1962,4,61.5
1962,5,17.3
1962,6,11.9
1962,7,34.8
1962,8,50.300000000000004
1962,9,46.9
1962,10,182.3
1962,11,64.7
1962,12,236.3
1963,1,219.1
1963,2,241.00000000000003
1963,3,78.10000000000001
1963,4,24.3
1963,5,3.7
1963,6,21.3
1963,7,3.0
1963,8,9.3
1963,9,6.6000000000000005
1963,10,99.2
1963,11,118.5
1963,12,70.8
1964,1,94.8
1964,2,230.7
1964,3,51.5
1964,4,36.0
1964,5,76.0
1964,6,38.5
1964,7,78.3
1964,8,28.599999999999998
1964,9,93.1
1964,10,144.0
1964,11,91.89999999999999
1964,12,346.2
1965,1,410.6
1965,2,141.4
1965,3,136.6
1965,4,83.8
1965,5,57.0
1965,6,20.900000000000002
1965,7,74.2
1965,8,7.800000000000001
1965,9,62.1
1965,10,207.6
1965,11,150.5
1965,12,279.2
1966,1,198.3
1966,2,184.7
1966,3,257.9
1966,4,22.5
1966,5,24.8
1966,6,5.0
1966,7,20.0
1966,8,52.1
1966,9,121.5
1966,10,166.6
1966,11,69.5
1966,12,338.7
1967,1,181.5
1967,2,274.7
1967,3,189.0
1967,4,30.400000000000002
1967,5,25.9
1967,6,66.4
1967,7,30.6
1967,8,5.0
1967,9,90.6
1967,10,153.0
1967,11,179.8
1967,12,171.6
1968,1,227.4
1968,2,140.1
1968,3,164.8
1968,4,60.0
1968,5,89.99999999999999
1968,6,41.9
1968,7,15.4
1968,8,58.0
1968,9,20.5
1968,10,91.0
1968,11,68.0
1968,12,147.9
1969,1,146.1
1969,2,173.7
1969,3,108.8
1969,4,105.39999999999999
1969,5,36.8
1969,6,50.1
1969,7,11.3
1969,8,34.2
1969,9,50.6
1969,10,237.9
1969,11,300.7
1969,12,98.6
1970,1,351.7
1970,2,416.2
1970,3,120.60000000000001
1970,4,49.2
1970,5,80.8
1970,6,87.2
1970,7,25.9
1970,8,84.1
1970,9,104.1
1970,10,83.5
1970,11,110.8
1970,12,145.9
1971,1,187.5
1971,2,185.7
1971,3,299.7
1971,4,97.3
1971,5,64.1
1971,6,76.4
1971,7,34.1
1971,8,9.700000000000001
1971,9,62.0
1971,10,137.29999999999998
1971,11,97.9
1971,12,157.2
1972,1,294.7
1972,2,173.0
1972,3,133.5
1972,4,47.0
1972,5,34.1
1972,6,3.6
1972,7,71.9
1972,8,94.0
1972,9,112.4
1972,10,206.7
1972,11,159.9
1972,12,138.70000000000002
1973,1,256.8
1973,2,171.6
1973,3,121.8
1973,4,88.2
1973,5,58.9
1973,6,29.7
1973,7,86.7
1973,8,17.7
1973,9,77.7
1973,10,130.3
1973,11,195.4
1973,12,216.4
1974,1,251.8
1974,2,147.4
1974,3,299.90000000000003
1974,4,61.2
1974,5,8.1
1974,6,123.5
1974,7,0.4
1974,8,3.0
1974,9,43.3
1974,10,174.4
1974,11,127.7
1974,12,178.20000000000002
1975,1,155.3
1975,2,331.8
1975,3,38.5
1975,4,24.299999999999997
1975,5,32.4
1975,6,3.6999999999999997
1975,7,75.9
1975,8,0.4
1975,9,42.1
1975,10,137.7
1975,11,220.9
1975,12,227.1
1976,1,269.7
1976,2,385.2
1976,3,124.4
1976,4,204.9
1976,5,168.6
1976,6,72.1
1976,7,153.3
1976,8,143.6
1976,9,187.9
1976,10,74.3
1976,11,86.1
1976,12,252.9
1977,1,295.2
1977,2,153.6
1977,3,155.70000000000002
1977,4,93.3
1977,5,96.4
1977,6,40.4
1977,7,6.800000000000001
1977,8,10.100000000000001
1977,9,102.5
1977,10,77.8
1977,11,191.1
1977,12,230.2
1978,1,147.1
1978,2,178.3
1978,3,251.4
1978,4,0.0
1978,5,105.3
1978,6,69.9
1978,7,61.6
1978,8,4.3999999999999995
1978,9,41.0
1978,10,68.2
1978,11,423.7
1978,12,253.0
1979,1,147.20000000000002
1979,2,133.7
1979,3,65.3
1979,4,90.30000000000001
1979,5,101.0
1979,6,4.4
1979,7,42.0
1979,8,76.6
1979,9,127.6
1979,10,133.0
1979,11,233.6
1979,12,115.8
1980,1,182.4
1980,2,194.29999999999998
1980,3,125.4
1980,4,119.5
1980,5,5.4
1980,6,73.5
1980,7,20.0
1980,8,26.200000000000003
1980,9,55.1
1980,10,70.2
1980,11,151.7
1980,12,289.1
1981,1,208.9
1981,2,225.3
1981,3,148.6
1981,4,40.5
1981,5,32.6
1981,6,65.8
1981,7,51.1
1981,8,14.5
1981,9,8.3
1981,10,198.8
1981,11,165.4
1981,12,120.80000000000001
1982,1,217.7
1982,2,300.5
1982,3,143.2
1982,4,35.4
1982,5,45.5
1982,6,161.9
1982,7,41.9
1982,8,72.39999999999999
1982,9,9.5
1982,10,197.5
1982,11,173.5
1982,12,269.5
1983,1,239.0
1983,2,277.6
1983,3,179.3
1983,4,200.9
1983,5,191.0
1983,6,220.7
1983,7,41.599999999999994
1983,8,22.0
1983,9,243.1
1983,10,142.70000000000002
1983,11,153.9
1983,12,179.0
1984,1,259.3
1984,2,32.5
1984,3,54.0
1984,4,96.8
1984,5,113.0
1984,6,0.1
1984,7,26.700000000000003
1984,8,110.6
1984,9,162.5
1984,10,31.1
1984,11,140.0
1984,12,139.6
1985,1,190.1
1985,2,281.4
1985,3,166.9
1985,4,31.4
1985,5,107.2
1985,6,14.200000000000001
1985,7,0.6
1985,8,21.6
1985,9,110.10000000000001
1985,10,11.2
1985,11,86.0
1985,12,176.3
1986,1,250.7
1986,2,268.4
1986,3,230.6
1986,4,84.89999999999999
1986,5,84.6
1986,6,2.4000000000000004
1986,7,28.1
1986,8,97.19999999999999
1986,9,34.7
1986,10,43.9
1986,11,155.6
1986,12,383.2
1987,1,442.3
1987,2,177.5
1987,3,178.5
1987,4,91.5
1987,5,241.2
1987,6,195.9
1987,7,10.700000000000001
1987,8,17.4
1987,9,59.2
1987,10,89.9
1987,11,96.1
1987,12,146.29999999999998
1988,1,293.40000000000003
1988,2,284.7
1988,3,203.6
1988,4,173.4
1988,5,210.8
1988,6,58.8
1988,7,2.2
1988,8,2.6
1988,9,34.7
1988,10,170.1
1988,11,85.7
1988,12,279.6
1989,1,359.2
1989,2,326.5
1989,3,185.1
1989,4,96.2
1989,5,30.400000000000002
1989,6,44.400000000000006
1989,7,144.7
1989,8,32.300000000000004
1989,9,82.2
1989,10,65.39999999999999
1989,11,82.4
1989,12,121.7
1990,1,280.7
1990,2,152.79999999999998
1990,3,228.79999999999998
1990,4,77.1
1990,5,52.8
1990,6,39.199999999999996
1990,7,121.0
1990,8,49.6
1990,9,96.1
1990,10,117.6
1990,11,76.0
1990,12,124.7
1991,1,270.7
1991,2,358.0
1991,3,451.3
1991,4,169.00000000000003
1991,5,34.2
1991,6,85.8
1991,7,26.2
1991,8,39.3
1991,9,65.6
1991,10,153.9
1991,11,48.0
1991,12,220.6
1992,1,203.4
1992,2,184.0
1992,3,273.7
1992,4,59.3
1992,5,71.4
1992,6,18.599999999999998
1992,7,39.1
1992,8,25.8
1992,9,180.6
1992,10,177.5
1992,11,213.8
1992,12,201.0
1993,1,248.7
1993,2,265.6
1993,3,92.5
1993,4,118.39999999999999
1993,5,101.2
1993,6,57.5
1993,7,15.2
1993,8,52.099999999999994
1993,9,206.7
1993,10,148.5
1993,11,96.19999999999999
1993,12,180.3
1994,1,231.89999999999998
1994,2,170.8
1994,3,252.3
1994,4,99.9
1994,5,40.7
1994,6,31.9
1994,7,26.1
1994,8,3.0999999999999996
1994,9,1.3
1994,10,126.8
1994,11,122.80000000000001
1994,12,311.09999999999997
1995,1,379.0
1995,2,445.5
1995,3,304.1
1995,4,64.9
1995,5,74.4
1995,6,58.7
1995,7,47.1
1995,8,16.7
1995,9,41.5
1995,10,229.9
1995,11,97.7
1995,12,202.0
1996,1,354.9
1996,2,305.6
1996,3,396.8
1996,4,81.7
1996,5,33.1
1996,6,54.1
1996,7,7.2
1996,8,31.599999999999998
1996,9,178.9
1996,10,154.0
1996,11,93.9
1996,12,331.4
1997,1,313.3
1997,2,181.1
1997,3,76.0
1997,4,71.6
1997,5,75.0
1997,6,122.5
1997,7,10.0
1997,8,22.299999999999997
1997,9,140.9
1997,10,96.10000000000001
1997,11,220.1
1997,12,255.4
1998,1,200.6
1998,2,394.2
1998,3,252.9
1998,4,92.8
1998,5,130.0
1998,6,16.1
1998,7,10.1
1998,8,42.5
1998,9,95.0
1998,10,216.39999999999998
1998,11,38.6
1998,12,241.2
1999,1,319.1
1999,2,369.8
1999,3,187.3
1999,4,35.8
1999,5,35.5
1999,6,84.3
1999,7,25.6
1999,8,1.4
1999,9,80.1
1999,10,62.0
1999,11,101.4
1999,12,74.60000000000001
2000,1,328.3
2000,2,246.6
2000,3,100.1
2000,4,6.3
2000,5,9.3
2000,6,12.2
2000,7,65.6
2000,8,86.3
2000,9,111.10000000000001
2000,10,59.0
2000,11,186.0
2000,12,249.7
2001,1,144.2
2001,2,290.1
2001,3,138.5
2001,4,32.9
2001,5,86.10000000000001
2001,6,24.5
2001,7,41.0
2001,8,32.800000000000004
2001,9,88.5
2001,10,204.3
2001,11,185.2
2001,12,187.0
2002,1,284.8
2002,2,172.5
2002,3,326.5
2002,4,53.5
2002,5,93.0
2002,6,1.3
2002,7,22.9
2002,8,46.4
2002,9,54.800000000000004
2002,10,124.9
2002,11,226.5
2002,12,235.3
2003,1,317.2
2003,2,109.4
2003,3,126.50000000000001
2003,4,45.6
2003,5,33.1
2003,6,16.0
2003,7,19.0
2003,8,25.3
2003,9,34.5
2003,10,126.7
2003,11,99.3
2003,12,139.8
2004,1,284.5
2004,2,335.6
2004,3,130.7
