Year,Precipitation
1961,1419.1
1962,1266.3
1963,894.9
1964,1309.6
1965,1631.7
1966,1461.6
1967,1398.5
1968,1125.0
1969,1354.2
1970,1660.0
1971,1408.9
1972,1469.5
1973,1451.2
1974,1418.9
1975,1290.1
1976,2123.0
1977,1453.1
1978,1603.9
1979,1270.5
1980,1312.8
1981,1280.6
1982,1668.5
1983,2090.8
1984,1166.2
1985,1197.0
1986,1664.3
1987,1746.5
1988,1799.6000000000001
1989,1570.5
1990,1416.4
1991,1922.6
1992,1648.2
1993,1582.9
1994,1418.7
1995,1961.5
1996,2023.2
1997,1584.3
1998,1730.4
1999,1376.9
2000,1460.5
2001,1455.1
2002,1642.4
2003,1092.4
2004,1644.3999999999999
2005,1729.6
2006,2009.3
2007,1623.4
2008,1659.8
2009,2017.3
2010,1885.8
2011,1700.1
2012,1932.7
2013,1391.3
2014,1253.3
2015,1896.8
2016,1569.8
2017,1674.0
2018,1185.1
2019,1774.5
2020,843.3
2021,498.0
2022,1324.5
2023,1834.8
2024,1553.5
2025,465.9
