Year,Precipitation,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_6,Max_8,Max_10,Max_12,Max_24
2006,2.6,0.31321180800000004,0.497454048,0.6448478400000001,0.746181072,0.838302192,0.9212112000000001,1.24488,2.13408,2.31192,2.43048,2.5194,2.964
2007,520.6,62.71464124800001,99.60560668800001,129.11837904,149.408410032,167.853892752,184.4548272,249.26328,427.30848000000003,462.91752,486.65688,504.4614,593.4839999999999
2008,1105.4,133.16320483200002,211.49450179200002,274.15953936,317.241752688,356.407401168,391.65648480000004,529.26552,907.31232,982.92168,1033.32792,1071.1326000000001,1260.156
2009,2074.6,249.91892956799998,396.93006460799995,514.53897264,595.395096912,668.9006644319999,735.0556752,993.3184799999999,1702.8316799999998,1844.7343199999998,1939.3360799999998,2010.2874,2365.044
2010,1212.4,146.053075392,231.966649152,300.69750816000004,347.949973728,390.906760608,429.56786880000004,580.49712,995.13792,1078.06608,1133.35152,1174.8156000000001,1382.136
2011,1749.4,210.74336035200002,334.710042912,433.88338896000005,502.065064368,564.048405648,619.8334128,837.6127200000001,1435.90752,1555.56648,1635.33912,1695.1686,1994.316
2012,1125.4,135.57252643200002,215.32107139200002,279.11990736,322.981607088,362.855879568,398.7427248000001,538.8415200000001,923.72832,1000.70568,1052.02392,1090.5126,1282.956
2013,1560.6,187.999364448,298.587225888,387.05751504,447.88083883199994,503.17476955199993,552.9393072,747.21528,1280.94048,1387.68552,1458.8488799999998,1512.2214,1779.0839999999998
2014,705.4,84.976772832,134.96310979199998,174.95217936,202.444664688,227.43783316799997,249.9316848,337.74552,578.99232,627.24168,659.40792,683.5326,804.156
2015,1417.4,170.74862179200002,271.188987552,351.54128016000004,406.783481328,457.003664208,502.20182880000004,678.65112,1163.40192,1260.3520800000001,1324.98552,1373.4606,1615.836
2016,1609.0,193.82992272,307.84752432,399.0616056,461.77128647999996,518.78008728,570.0880080000001,770.3892,1320.6671999999999,1430.7228,1504.0932,1559.1209999999999,1834.2599999999998
2017,1576.0,189.85454208000002,301.53368448,390.8769984,452.30052672,508.14009791999996,558.395712,754.5888,1293.5808,1401.3792,1473.2448,1527.144,1796.6399999999999
2018,1342.4,161.71366579200003,256.83935155200004,332.93990016000004,385.259027328,432.821870208,475.62842880000005,642.74112,1101.84192,1193.66208,1254.87552,1300.7856000000002,1530.336
2019,1409.0,169.73670672,269.58182832,349.4579256,404.37274247999994,454.29530328,499.225608,674.6292,1156.5072,1252.8828,1317.1332,1365.321,1606.2599999999998
2020,1441.4,173.63980771200002,275.780871072,357.49372176,413.671306608,464.741838288,510.70531680000005,690.14232,1183.10112,1281.69288,1347.42072,1396.7166,1643.196
2021,10.6,1.276940448,2.028081888,2.62899504,3.0421228319999996,3.417693552,3.7557072000000002,5.07528,8.700479999999999,9.425519999999999,9.90888,10.2714,12.083999999999998
