Year,Precipitation,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_6,Max_8,Max_10,Max_12,Max_24
2006,2.6,0.3758541696,0.5969448575999999,0.7738174080000001,0.8954172864,1.0059626303999998,1.10545344,1.4938559999999999,2.560896,2.774304,2.9165759999999996,3.0232799999999997,3.5568
2007,520.6,75.2575694976,119.5267280256,154.94205484800003,179.2900920384,201.4246713024,221.34579264,299.115936,512.770176,555.501024,583.988256,605.3536799999999,712.1808
2008,1105.4,159.79584579840002,253.7934021504,328.99144723200004,380.6901032256,427.6888814016,469.9877817600001,635.118624,1088.774784,1179.506016,1239.993504,1285.3591199999998,1512.1872
2009,2074.6,299.9027154816,476.31607752959997,617.446767168,714.4741162943999,802.6807973183999,882.06681024,1191.9821759999998,2043.3980159999999,2213.681184,2327.2032959999997,2412.3448799999996,2838.0527999999995
2010,1212.4,175.2636904704,278.3599789824,360.83700979200006,417.5399684736,469.08811272959997,515.48144256,696.596544,1194.165504,1293.679296,1360.021824,1409.7787199999998,1658.5632
2011,1749.4,252.8920324224,401.6520514944,520.660066752,602.4780772416,676.8580867776,743.80009536,1005.135264,1723.089024,1866.6797760000002,1962.4069439999998,2034.2023199999999,2393.1792
2012,1125.4,162.68703171840002,258.3852856704,334.943888832,387.5779285056,435.42705548159995,478.49126976,646.609824,1108.473984,1200.846816,1262.428704,1308.61512,1539.5472
2013,1560.6,225.5992373376,358.30467106559996,464.469018048,537.4570065984,603.8097234623999,663.52716864,896.6583359999998,1537.1285759999998,1665.222624,1750.6186559999996,1814.6656799999996,2134.9008
2014,705.4,101.9721273984,161.9557317504,209.942615232,242.9335976256,272.92539980159995,299.91802176,405.29462399999994,694.7907839999999,752.690016,791.2895039999999,820.2391199999998,964.9871999999999
2015,1417.4,204.89834615040002,325.4267850624,421.849536192,488.1401775936,548.4043970496,602.64219456,814.381344,1396.082304,1512.4224960000001,1589.982624,1648.1527199999998,1939.0031999999999
2016,1609.0,232.595907264,369.417029184,478.87392672000004,554.125543776,622.5361047359999,684.1056096,924.4670399999999,1584.80064,1716.86736,1804.9118399999998,1870.9451999999997,2201.1119999999996
2017,1576.0,227.825450496,361.840421376,469.05239808,542.760632064,609.7681175039999,670.0748544,905.5065599999999,1552.29696,1681.6550399999999,1767.8937599999997,1832.5727999999997,2155.968
2018,1342.4,194.05639895040002,308.2072218624,399.52788019200005,462.3108327936,519.3862442495999,570.7541145600001,771.289344,1322.210304,1432.3944960000001,1505.850624,1560.9427199999998,1836.4032
2019,1409.0,203.684048064,323.49819398399995,419.34951072,485.247290976,545.1543639359999,599.0707296,809.55504,1387.80864,1503.45936,1580.55984,1638.3851999999997,1927.512
2020,1441.4,208.36776925440003,330.9370452864,428.99246611200005,496.4055679296,557.6902059455999,612.8463801600001,828.170784,1419.721344,1538.0314560000002,1616.9048639999999,1676.05992,1971.8352
2021,10.6,1.5323285376,2.4336982656,3.154794048,3.6505473983999996,4.101232262399999,4.50684864,6.090336,10.440575999999998,11.310623999999999,11.890655999999998,12.325679999999998,14.500799999999998
