Date,Precipitation,Year,Month,Day
1961-01-01,3.24349570274353,1961,1,1
1961-01-02,14.395167350769,1961,1,2
1961-01-03,17.2367477416992,1961,1,3
1961-01-04,0.0573199056088924,1961,1,4
1961-01-05,0.0,1961,1,5
1961-01-06,7.39890384674072,1961,1,6
1961-01-07,12.0900268554688,1961,1,7
1961-01-08,31.239128112793,1961,1,8
1961-01-09,24.595228195190398,1961,1,9
1961-01-10,10.912636756897,1961,1,10
1961-01-11,11.855616569519,1961,1,11
1961-01-12,17.2735347747803,1961,1,12
1961-01-13,32.304679870605504,1961,1,13
1961-01-14,9.98691368103027,1961,1,14
1961-01-15,15.1922073364258,1961,1,15
1961-01-16,15.144702911377001,1961,1,16
1961-01-17,22.9306526184082,1961,1,17
1961-01-18,15.2597103118896,1961,1,18
1961-01-19,3.09262466430664,1961,1,19
1961-01-20,0.251536577939987,1961,1,20
1961-01-21,1.1249824762344398,1961,1,21
1961-01-22,7.64395236968994,1961,1,22
1961-01-23,0.0845463424921036,1961,1,23
1961-01-24,3.73059988021851,1961,1,24
1961-01-25,2.0992679595947297,1961,1,25
1961-01-26,9.78506469726562,1961,1,26
1961-01-27,16.0182247161865,1961,1,27
1961-01-28,7.745555877685549,1961,1,28
1961-01-29,16.855369567871097,1961,1,29
1961-01-30,11.6381063461304,1961,1,30
1961-01-31,0.0,1961,1,31
1961-02-01,14.135754585266099,1961,2,1
1961-02-02,0.586101770401001,1961,2,2
1961-02-03,0.0,1961,2,3
1961-02-04,2.82849717140198,1961,2,4
1961-02-05,6.7288064956665,1961,2,5
1961-02-06,5.75076150894165,1961,2,6
1961-02-07,5.9191398620605495,1961,2,7
1961-02-08,6.584467887878421,1961,2,8
1961-02-09,1.0824476480484,1961,2,9
1961-02-10,0.0,1961,2,10
1961-02-11,6.04443168640137,1961,2,11
1961-02-12,10.3730363845825,1961,2,12
1961-02-13,28.878709793090806,1961,2,13
1961-02-14,9.83665561676025,1961,2,14
1961-02-15,10.7072696685791,1961,2,15
1961-02-16,5.86510133743286,1961,2,16
1961-02-17,14.086082458496099,1961,2,17
1961-02-18,8.71828556060791,1961,2,18
1961-02-19,0.0,1961,2,19
1961-02-20,0.0,1961,2,20
1961-02-21,2.24015617370605,1961,2,21
1961-02-22,29.4406394958496,1961,2,22
1961-02-23,10.7381153106689,1961,2,23
1961-02-24,0.0,1961,2,24
1961-02-25,0.0836070477962494,1961,2,25
1961-02-26,9.472832679748539,1961,2,26
1961-02-27,8.95742893218994,1961,2,27
1961-02-28,25.002487182617198,1961,2,28
1961-03-01,12.512693405151401,1961,3,1
