Year,Month,Day,Precipitation
2017,3,17,46.620000000000005
2017,3,18,4.15
2017,3,19,2.0
2017,3,20,0.4
2017,3,21,0.0
2017,3,22,0.0
2017,3,23,0.0
2017,3,24,0.0
2017,3,25,0.0
2017,3,26,0.0
2017,3,27,0.0
2017,3,28,0.4
2017,3,29,4.52
2017,3,30,0.0
2017,3,31,0.2
2017,4,1,0.2
2017,4,2,1.77
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,20.27
2017,4,7,41.96
2017,4,8,2.77
2017,4,9,0.0
2017,4,10,0.0
2017,4,11,0.0
2017,4,12,3.95
2017,4,13,1.2000000000000002
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,0.6000000000000001
2017,4,18,0.5900000000000001
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,22.550000000000004
2017,4,22,4.55
2017,4,23,1.1900000000000002
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,17.74
2017,4,27,0.2
2017,4,28,0.0
2017,4,29,0.0
2017,4,30,0.0
2017,5,1,0.0
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.0
2017,5,5,30.74
2017,5,6,2.38
2017,5,7,0.8
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,0.6000000000000001
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,0.0
2017,5,15,0.0
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,1.99
2017,5,19,38.37
2017,5,20,0.0
2017,5,21,26.73
2017,5,22,14.420000000000002
2017,5,23,0.0
2017,5,24,0.0
2017,5,25,0.0
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.0
2017,5,31,0.0
2017,6,1,3.94
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,34.08
2017,6,6,28.31
2017,6,7,16.130000000000003
2017,6,8,0.0
2017,6,9,0.79
2017,6,10,0.0
2017,6,11,0.0
2017,6,12,0.0
2017,6,13,12.61
2017,6,14,0.6000000000000001
2017,6,15,0.0
2017,6,16,0.0
2017,6,17,0.0
2017,6,18,0.0
2017,6,19,0.0
2017,6,20,0.6000000000000001
2017,6,21,0.8
2017,6,22,0.0
2017,6,23,0.0
2017,6,24,0.0
2017,6,25,0.0
2017,6,26,0.0
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.0
2017,6,30,0.0
2017,7,1,1.0
2017,7,2,1.79
2017,7,3,0.2
2017,7,4,0.0
2017,7,5,0.0
2017,7,6,0.0
2017,7,7,0.0
2017,7,8,0.0
2017,7,9,0.0
2017,7,10,0.0
2017,7,11,0.0
2017,7,12,0.0
2017,7,13,0.0
2017,7,14,0.0
2017,7,15,0.0
2017,7,16,0.0
2017,7,17,0.0
2017,7,18,0.4
2017,7,19,0.0
2017,7,20,0.0
2017,7,21,0.0
2017,7,22,0.0
2017,7,23,0.0
2017,7,24,0.0
2017,7,25,0.0
2017,7,26,0.0
2017,7,27,0.0
2017,7,28,0.0
2017,7,29,0.0
2017,7,30,0.0
2017,7,31,0.0
2017,8,1,0.0
2017,8,2,0.0
2017,8,3,1.0
2017,8,4,1.4
2017,8,5,3.8
2017,8,6,0.0
2017,8,7,0.0
2017,8,8,0.0
2017,8,9,0.0
2017,8,10,0.0
2017,8,11,0.0
2017,8,12,0.0
2017,8,13,0.0
2017,8,14,0.0
2017,8,15,11.63
2017,8,16,3.97
2017,8,17,12.23
2017,8,18,0.0
2017,8,19,6.74
2017,8,20,31.25
2017,8,21,4.8
2017,8,22,0.0
2017,8,23,0.0
2017,8,24,0.0
2017,8,25,0.0
2017,8,26,0.0
2017,8,27,0.0
2017,8,28,0.0
2017,8,29,0.0
2017,8,30,0.0
2017,8,31,0.4
2017,9,1,0.0
2017,9,2,0.0
2017,9,3,0.0
2017,9,4,0.0
2017,9,5,0.0
2017,9,6,0.0
2017,9,7,0.0
2017,9,8,0.0
2017,9,9,0.0
2017,9,10,0.0
2017,9,11,0.0
2017,9,12,0.0
2017,9,13,0.0
2017,9,14,0.0
2017,9,15,0.0
2017,9,16,0.0
2017,9,17,0.0
2017,9,18,0.0
2017,9,19,0.0
2017,9,20,0.0
2017,9,21,0.0
2017,9,22,0.0
2017,9,23,0.0
2017,9,24,0.0
2017,9,25,0.0
2017,9,26,0.0
2017,9,27,0.0
2017,9,28,0.0
2017,9,29,0.0
2017,9,30,15.47
2017,10,1,11.38
2017,10,2,3.0
2017,10,3,6.800000000000001
2017,10,4,0.0
2017,10,5,0.0
2017,10,6,0.0
2017,10,7,15.31
2017,10,8,6.74
2017,10,9,5.29
2017,10,10,0.0
2017,10,11,2.1900000000000004
2017,10,12,1.6
2017,10,13,0.8
2017,10,14,0.4
2017,10,15,0.6000000000000001
2017,10,16,0.2
2017,10,17,0.0
2017,10,18,0.0
2017,10,19,0.0
2017,10,20,0.0
2017,10,21,0.4
2017,10,22,0.2
2017,10,23,0.0
2017,10,24,0.2
2017,10,25,0.0
2017,10,26,0.2
2017,10,27,0.39
2017,10,28,0.4
2017,10,29,0.0
2017,10,30,0.0
2017,10,31,0.0
2017,11,1,0.0
2017,11,2,0.0
2017,11,3,0.0
2017,11,4,0.0
2017,11,5,0.0
2017,11,6,0.0
2017,11,7,0.0
2017,11,8,0.0
2017,11,9,0.0
2017,11,10,0.0
2017,11,11,0.0
2017,11,12,0.0
2017,11,13,0.0
2017,11,14,0.0
2017,11,15,0.0
2017,11,16,0.0
2017,11,17,0.0
2017,11,18,0.0
2017,11,19,0.0
2017,11,20,0.0
2017,11,21,0.0
2017,11,22,0.0
2017,11,23,0.0
2017,11,24,0.0
2017,11,25,0.0
2017,11,26,0.0
2017,11,27,0.0
2017,11,28,0.0
2017,11,29,0.0
2017,11,30,0.0
2017,12,1,0.0
2017,12,2,0.0
2017,12,3,0.0
2017,12,4,0.0
2017,12,5,0.0
2017,12,6,0.0
2017,12,7,0.0
2017,12,8,0.0
2017,12,9,0.0
2017,12,10,0.0
2017,12,11,0.0
2017,12,12,0.0
2017,12,13,0.0
2017,12,14,0.0
2017,12,15,0.0
2017,12,16,0.0
2017,12,17,0.0
2017,12,18,0.0
2017,12,19,0.0
2017,12,20,0.0
2017,12,21,0.0
2017,12,22,0.0
2017,12,23,0.0
2017,12,24,0.0
2017,12,25,0.0
2017,12,26,0.0
2017,12,27,0.0
2017,12,28,0.0
2017,12,29,0.0
2017,12,30,0.0
2017,12,31,0.0
2018,1,1,0.0
2018,1,2,0.0
2018,1,3,0.0
2018,1,4,0.0
2018,1,5,0.0
2018,1,6,0.0
2018,1,7,0.0
2018,1,8,0.0
2018,1,9,0.0
2018,1,10,0.0
2018,1,11,0.0
2018,1,12,0.0
2018,1,13,0.0
2018,1,14,0.0
2018,1,15,0.0
2018,1,16,0.0
2018,1,17,0.0
2018,1,18,0.0
2018,1,19,0.0
2018,1,20,0.0
2018,1,21,0.0
2018,1,22,0.0
2018,1,23,0.0
2018,1,24,0.0
2018,1,25,0.0
2018,1,26,0.0
2018,1,27,0.0
2018,1,28,0.0
2018,1,29,0.0
2018,1,30,0.0
2018,1,31,0.0
2018,2,1,0.0
2018,2,2,0.0
2018,2,3,0.0
2018,2,4,0.0
2018,2,5,0.0
2018,2,6,0.0
2018,2,7,0.0
2018,2,8,0.0
2018,2,9,0.0
2018,2,10,0.0
2018,2,11,0.0
2018,2,12,0.0
2018,2,13,0.0
2018,2,14,0.0
2018,2,15,0.0
2018,2,16,0.0
2018,2,17,0.0
2018,2,18,0.0
2018,2,19,0.0
2018,2,20,0.0
2018,2,21,0.0
2018,2,22,0.0
2018,2,23,0.0
2018,2,24,0.0
2018,2,25,0.0
2018,2,26,0.0
2018,2,27,0.0
2018,2,28,0.0
2018,3,1,0.0
2018,3,2,0.0
2018,3,3,0.0
2018,3,4,0.0
2018,3,5,0.0
2018,3,6,0.0
2018,3,7,0.0
2018,3,8,0.0
2018,3,9,0.0
2018,3,10,0.0
2018,3,11,0.0
2018,3,12,0.0
2018,3,13,0.0119
2018,3,14,0.44120000000000004
2018,3,15,1.3545999999999996
2018,3,16,0.28720000000000007
2018,3,17,0.1975
2018,3,18,0.016
2018,3,19,0.863200000000001
2018,3,20,3.4852000000000016
2018,3,21,2.664599999999999
2018,3,22,0.5873000000000012
2018,3,23,0.13369999999999996
2018,3,24,0.0733
2018,3,25,0.024
2018,3,26,20.028300000000005
2018,3,27,0.6481000000000003
2018,3,28,23.20599999999999
2018,3,29,3.3073999999999995
2018,3,30,24.445499999999967
2018,3,31,12.802099999999998
2018,4,1,0.9502000000000002
2018,4,2,1.0600999999999998
2018,4,3,5.911699999999997
2018,4,4,4.252899999999997
2018,4,5,0.0
2018,4,6,0.2378
2018,4,7,2.610000000000001
2018,4,8,1.0939999999999996
2018,4,9,0.11199999999999999
2018,4,10,0.0
2018,4,11,0.0
2018,4,12,0.0
2018,4,13,0.0
2018,4,14,0.026000000000000006
2018,4,15,33.87219999999998
2018,4,16,3.5184
2018,4,17,0.0
2018,4,18,0.0
2018,4,19,0.0020000000000000005
2018,4,20,0.0
2018,4,21,0.002
2018,4,22,0.002
2018,4,23,0.024
2018,4,24,0.030000000000000006
2018,4,25,0.19539999999999985
2018,4,26,1.187200000000001
2018,4,27,0.1288
2018,4,28,0.0
2018,4,29,0.0
2018,4,30,0.0
2018,5,1,0.006000000000000001
2018,5,2,0.006000000000000001
2018,5,3,0.022
2018,5,4,0.006000000000000001
2018,5,5,0.004
2018,5,6,0.004
2018,5,7,0.594000000000001
2018,5,8,0.0
2018,5,9,0.002
2018,5,10,0.0
2018,5,11,0.0
2018,5,12,0.0
2018,5,13,0.7146000000000002
2018,5,14,0.038000000000000006
2018,5,15,0.07
2018,5,16,0.09399999999999999
2018,5,17,0.027999999999999997
2018,5,18,0.018000000000000002
2018,5,19,9.5925
2018,5,20,0.004
2018,5,21,0.004
2018,5,22,0.006000000000000001
2018,5,23,0.14599999999999988
2018,5,24,0.034
2018,5,25,0.032
2018,5,26,0.1288
2018,5,27,0.0
2018,5,28,0.0
2018,5,29,0.0
2018,5,30,0.016
2018,5,31,0.8060000000000003
2018,6,1,0.008
2018,6,2,0.008
2018,6,3,1.2072
2018,6,4,1.1488000000000003
2018,6,5,0.22799999999999984
