Year,Month,Precipitation
2017,3,58.290000000000006
2017,4,119.53999999999999
2017,5,116.03
2017,6,97.86
2017,7,3.39
2017,8,77.22
2017,9,15.47
2017,10,56.1
2017,11,0.0
2017,12,0.0
2018,1,0.0
2018,2,0.0
2018,3,94.57709999999996
2018,4,55.21669999999998
2018,5,12.3759
2018,6,33.06000000000002
2018,7,17.773
2018,8,54.3819
2018,9,171.24550000000005
2018,10,168.58599999999998
2018,11,110.2018
2018,12,187.12360000000007
2019,1,220.1184999999999
2019,2,313.45150000000007
2019,3,260.913
2019,4,111.5371
2019,5,61.0467
2019,6,69.44359999999998
2019,7,98.03430000000002
2019,8,20.62719999999999
2019,9,109.79990000000006
2019,10,80.9916
2019,11,92.92660000000004
2019,12,89.9405
2020,1,290.32550000000003
2020,2,250.19769999999997
2020,3,62.120000000000005
2020,4,2.19
2020,5,13.65
2020,6,103.7
2020,7,10.86
2020,8,72.73
2020,9,15.629999999999999
2020,10,104.01
2020,11,97.78999999999999
2020,12,154.77
2021,1,169.70000000000002
2021,2,119.98
2021,3,59.35
2021,4,57.18
2021,5,23.8
2021,6,19.32
2021,7,36.08
2021,8,35.919999999999995
2021,9,13.190000000000001
2021,10,140.2158
2021,11,88.45
2021,12,131.76
2022,1,253.55
2022,2,69.62
2022,3,229.69
2022,4,36.02
2022,5,35.84
2022,6,26.34
2022,7,5.9
2022,8,32.769999999999996
2022,9,814.11
2022,10,420.84000000000003
2022,11,0.0
2022,12,0.8
2023,1,0.0
2023,2,0.4
2023,3,0.2
2023,4,138.03
2023,5,45.74
2023,6,32.15
2023,7,8.920000000000002
2023,8,40.1
2023,9,85.47
2023,10,226.63
2023,11,150.26
2023,12,82.67
2024,1,286.41
2024,2,292.0
2024,3,85.67
2024,4,48.910000000000004
2024,5,43.93
2024,6,0.4
2024,7,64.15
2024,8,61.82
2024,9,23.53
2024,10,101.11
2024,11,172.78
2024,12,201.33999999999997
2025,1,162.07
2025,2,147.20000000000002
