Year,Month,Day,Precipitation
2017,3,1,3.2
2017,3,2,2.9800000000000004
2017,3,3,8.4
2017,3,4,4.0
2017,3,5,2.6000000000000005
2017,3,6,8.4
2017,3,7,7.2
2017,3,8,10.4
2017,3,9,8.0
2017,3,10,5.800000000000001
2017,3,11,6.0
2017,3,12,0.0
2017,3,13,0.0
2017,3,14,0.2
2017,3,15,1.4000000000000001
2017,3,16,0.0
2017,3,17,11.280000000000001
2017,3,18,10.97
2017,3,19,4.0
2017,3,20,0.6000000000000001
2017,3,21,0.0
2017,3,22,0.0
2017,3,23,0.0
2017,3,24,0.0
2017,3,25,0.0
2017,3,26,0.0
2017,3,27,0.0
2017,3,28,0.8
2017,3,29,1.8000000000000003
2017,3,30,0.0
2017,3,31,0.0
2017,4,1,1.38
2017,4,2,2.6000000000000005
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,70.28
2017,4,7,115.45
2017,4,8,3.1700000000000004
2017,4,9,0.0
2017,4,10,0.6000000000000001
2017,4,11,0.0
2017,4,12,8.34
2017,4,13,6.94
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,2.0
2017,4,18,2.39
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,99.0
2017,4,22,7.930000000000001
2017,4,23,3.4000000000000004
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,40.37
2017,4,27,0.99
2017,4,28,0.4
2017,4,29,0.0
2017,4,30,0.0
2017,5,1,0.0
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.0
2017,5,5,57.480000000000004
2017,5,6,3.95
2017,5,7,1.3900000000000001
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,2.0
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,0.0
2017,5,15,0.0
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,5.57
2017,5,19,87.1
2017,5,20,0.8
2017,5,21,40.86
2017,5,22,54.36
2017,5,23,1.8
2017,5,24,0.0
2017,5,25,0.0
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.4
2017,5,31,0.0
2017,6,1,0.0
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,36.13
2017,6,6,86.52
2017,6,7,18.91
2017,6,8,1.8
2017,6,9,1.9900000000000002
2017,6,10,1.2000000000000002
2017,6,11,0.6000000000000001
2017,6,12,0.8
2017,6,13,14.0
2017,6,14,1.8
2017,6,15,0.8
2017,6,16,0.8
2017,6,17,0.8
2017,6,18,0.6000000000000001
2017,6,19,0.4
2017,6,20,2.0
2017,6,21,0.8
2017,6,22,0.4
2017,6,23,0.4
2017,6,24,0.4
2017,6,25,0.0
2017,6,26,0.0
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.0
2017,6,30,0.0
2017,7,1,4.37
2017,7,2,0.6000000000000001
2017,7,3,0.4
2017,7,4,0.0
2017,7,5,0.0
2017,7,6,0.0
2017,7,7,0.0
2017,7,8,0.0
2017,7,9,0.0
2017,7,10,0.0
2017,7,11,0.0
2017,7,12,0.0
2017,7,13,0.0
2017,7,14,0.0
2017,7,15,0.0
2017,7,16,0.0
2017,7,17,0.0
2017,7,18,0.4
2017,7,19,0.0
2017,7,20,0.0
2017,7,21,0.0
2017,7,22,0.0
2017,7,23,0.0
2017,7,24,0.0
2017,7,25,0.0
2017,7,26,0.0
2017,7,27,0.0
2017,7,28,0.0
2017,7,29,0.0
2017,7,30,0.0
2017,7,31,0.0
2017,8,1,0.0
2017,8,2,0.0
2017,8,3,2.38
2017,8,4,2.6
2017,8,5,8.96
2017,8,6,0.4
2017,8,7,0.2
2017,8,8,0.2
2017,8,9,0.0
2017,8,10,0.0
2017,8,11,0.0
2017,8,12,0.0
2017,8,13,0.0
2017,8,14,0.0
2017,8,15,9.680000000000001
2017,8,16,4.55
2017,8,17,11.670000000000002
2017,8,18,0.4
2017,8,19,5.550000000000001
2017,8,20,31.049999999999997
2017,8,21,5.96
2017,8,22,0.2
2017,8,23,0.2
2017,8,24,0.2
2017,8,25,0.2
2017,8,26,0.0
2017,8,27,0.2
2017,8,28,0.0
2017,8,29,0.2
2017,8,30,0.0
2017,8,31,1.2000000000000002
2017,9,1,0.2
2017,9,2,0.2
2017,9,3,0.2
2017,9,4,0.0
2017,9,5,0.0
2017,9,6,0.2
2017,9,7,0.0
2017,9,8,0.0
2017,9,9,0.0
2017,9,10,0.0
2017,9,11,0.0
2017,9,12,0.0
2017,9,13,0.0
2017,9,14,0.0
2017,9,15,0.0
2017,9,16,0.0
2017,9,17,0.0
2017,9,18,0.0
2017,9,19,0.0
2017,9,20,0.0
2017,9,21,0.0
2017,9,22,0.0
2017,9,23,0.0
2017,9,24,0.0
2017,9,25,0.0
2017,9,26,0.0
2017,9,27,0.0
2017,9,28,0.8
2017,9,29,2.6
2017,9,30,38.400000000000006
2017,10,1,4.32
2017,10,2,15.730000000000002
2017,10,3,1.5799999999999998
2017,10,4,0.2
2017,10,5,0.2
2017,10,6,0.0
2017,10,7,13.82
2017,10,8,14.97
2017,10,9,0.2
2017,10,10,0.39
2017,10,11,0.2
2017,10,12,3.73
2017,10,13,6.510000000000001
2017,10,14,0.0
2017,10,15,0.4
2017,10,16,0.0
2017,10,17,0.2
2017,10,18,0.0
2017,10,19,0.0
2017,10,20,0.0
2017,10,21,0.8
2017,10,22,5.99
2017,10,23,2.0
2017,10,24,0.4
2017,10,25,15.6
2017,10,26,43.88
2017,10,27,5.13
2017,10,28,0.4
2017,10,29,0.0
2017,10,30,1.9900000000000002
2017,10,31,4.34
2017,11,1,3.16
2017,11,2,0.0
2017,11,3,0.0
2017,11,4,32.41
2017,11,5,0.9900000000000001
2017,11,6,0.2
2017,11,7,0.2
2017,11,8,0.0
2017,11,9,4.73
2017,11,10,8.48
2017,11,11,9.84
2017,11,12,0.0
2017,11,13,0.0
2017,11,14,0.0
2017,11,15,0.0
2017,11,16,4.72
2017,11,17,10.43
2017,11,18,43.39
2017,11,19,6.1
2017,11,20,1.0
2017,11,21,1.8
2017,11,22,6.710000000000001
2017,11,23,1.2000000000000002
2017,11,24,0.2
2017,11,25,0.0
2017,11,26,4.34
2017,11,27,52.150000000000006
2017,11,28,0.0
2017,11,29,0.2
2017,11,30,0.0
2017,12,1,1.58
2017,12,2,1.39
2017,12,3,0.4
2017,12,4,0.0
2017,12,5,0.0
2017,12,6,0.0
2017,12,7,0.6000000000000001
2017,12,8,7.68
2017,12,9,0.8
2017,12,10,0.4
2017,12,11,0.0
2017,12,12,0.2
2017,12,13,0.0
2017,12,14,0.0
2017,12,15,0.0
2017,12,16,0.0
2017,12,17,0.0
2017,12,18,9.66
2017,12,19,0.0
2017,12,20,3.5400000000000005
2017,12,21,61.53
2017,12,22,2.98
2017,12,23,0.8
2017,12,24,0.2
2017,12,25,12.610000000000001
2017,12,26,4.54
2017,12,27,0.8
2017,12,28,3.0
2017,12,29,4.74
2017,12,30,14.589999999999998
2017,12,31,30.310000000000002
2018,1,1,0.0
2018,1,2,0.0
2018,1,3,6.5200000000000005
2018,1,4,0.0
2018,1,5,0.0
2018,1,6,0.0
2018,1,7,11.86
2018,1,8,18.37
2018,1,9,2.6
2018,1,10,11.399999999999999
2018,1,11,0.0
2018,1,12,0.0
2018,1,13,0.4
2018,1,14,0.2
2018,1,15,0.0
2018,1,16,9.85
2018,1,17,24.22
2018,1,18,0.6000000000000001
2018,1,19,1.78
2018,1,20,0.79
2018,1,21,0.0
2018,1,22,5.92
2018,1,23,11.819999999999999
2018,1,24,0.0
2018,1,25,0.0
2018,1,26,4.9399999999999995
2018,1,27,0.8
2018,1,28,0.0
2018,1,29,25.2
2018,1,30,27.749999999999996
2018,1,31,0.2
2018,2,1,1.19
2018,2,2,0.0
2018,2,3,0.0
2018,2,4,0.0
2018,2,5,0.2
2018,2,6,1.3900000000000001
2018,2,7,0.0
2018,2,8,0.0
2018,2,9,0.0
2018,2,10,1.77
2018,2,11,0.4
2018,2,12,0.0
2018,2,13,2.0
2018,2,14,6.15
2018,2,15,1.6
2018,2,16,0.4
2018,2,17,0.0
2018,2,18,1.2000000000000002
2018,2,19,0.0
2018,2,20,3.94
2018,2,21,0.0
2018,2,22,2.3600000000000003
2018,2,23,0.0
2018,2,24,0.0
2018,2,25,0.0
2018,2,26,29.9
2018,2,27,0.2
2018,2,28,0.6000000000000001
2018,3,1,0.0
2018,3,2,22.009999999999998
2018,3,3,1.59
2018,3,4,9.52
2018,3,5,1.98
2018,3,6,39.27
2018,3,7,5.2
2018,3,8,1.6
2018,3,9,1.2000000000000002
2018,3,10,0.2
2018,3,11,0.0
2018,3,12,0.0
2018,3,13,16.029999999999998
