Year,Month,Precipitation
2017,3,98.03
2017,4,365.24
2017,5,255.71
2017,6,171.15
2017,7,5.7700000000000005
2017,8,86.0
2017,9,42.6
2017,10,142.98000000000002
2017,11,192.25
2017,12,162.35
2018,1,165.22
2018,2,53.3
2018,3,423.11
2018,4,127.94
2018,5,35.160000000000004
2018,6,45.78
2018,7,32.59
2018,8,68.09
2018,9,151.82
2018,10,13.000000000000002
2018,11,0.2
2018,12,0.0
2019,1,0.0
2019,2,0.0
2019,3,0.0
2019,4,0.0
2019,5,0.0
2019,6,0.0
2019,7,0.0
2019,8,2.16
2019,9,638.4699999999999
2019,10,121.21000000000001
2019,11,47.160000000000004
2019,12,115.69000000000001
2020,1,31.42
2020,2,654.62
2020,3,135.75
2020,4,9.55
2020,5,28.990000000000002
2020,6,216.64000000000001
2020,7,16.23
2020,8,149.79
2020,9,46.510000000000005
2020,10,336.39
2020,11,253.77
2020,12,429.7
2021,1,418.33
2021,2,575.6800000000001
2021,3,345.67
2021,4,154.62
2021,5,59.120000000000005
2021,6,14.190000000000001
2021,7,40.35
2021,8,34.410000000000004
2021,9,18.8
2021,10,135.45000000000002
2021,11,131.89
2021,12,148.06
2022,1,289.39
2022,2,43.69
2022,3,321.12
2022,4,51.220000000000006
2022,5,90.22
2022,6,72.68
2022,7,10.03
2022,8,95.60000000000001
2022,9,292.75
2022,10,117.7
2022,11,295.64
2022,12,379.19
2023,1,407.11
2023,2,839.72
2023,3,468.73
2023,4,188.12
2023,5,92.54
2023,6,55.81
2023,7,19.01
2023,8,78.13
2023,9,153.37
2023,10,459.55
2023,11,190.45
2023,12,201.15
2024,1,409.28
2024,2,251.38
2024,3,57.78
2024,4,78.26
2024,5,103.59
2024,6,1.4000000000000001
2024,7,130.04
2024,8,112.28
2024,9,35.63
2024,10,146.49
2024,11,402.83
2024,12,335.38
2025,1,328.54
2025,2,243.81
