Year,Month,Day,Precipitation
2017,3,1,0.0
2017,3,2,5.92
2017,3,3,5.76
2017,3,4,3.0
2017,3,5,7.4
2017,3,6,9.8
2017,3,7,4.4
2017,3,8,4.0
2017,3,9,3.2
2017,3,10,0.6000000000000001
2017,3,11,0.4
2017,3,12,0.2
2017,3,13,0.0
2017,3,14,0.0
2017,3,15,0.2
2017,3,16,0.2
2017,3,17,0.4
2017,3,18,0.2
2017,3,19,0.2
2017,3,20,0.2
2017,3,21,0.0
2017,3,22,0.2
2017,3,23,0.0
2017,3,24,0.0
2017,3,25,0.0
2017,3,26,0.0
2017,3,27,0.0
2017,3,28,0.4
2017,3,29,2.37
2017,3,30,0.0
2017,3,31,0.4
2017,4,1,0.2
2017,4,2,0.5900000000000001
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,31.49
2017,4,7,52.98
2017,4,8,1.2000000000000002
2017,4,9,0.0
2017,4,10,0.0
2017,4,11,0.0
2017,4,12,1.78
2017,4,13,1.2000000000000002
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,0.6000000000000001
2017,4,18,0.4
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,23.84
2017,4,22,3.7600000000000002
2017,4,23,0.4
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,15.52
2017,4,27,0.4
2017,4,28,0.0
2017,4,29,0.0
2017,4,30,0.0
2017,5,1,0.0
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.0
2017,5,5,34.13
2017,5,6,1.3900000000000001
2017,5,7,0.99
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,1.2000000000000002
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,0.0
2017,5,15,0.0
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,2.95
2017,5,19,49.59
2017,5,20,0.4
2017,5,21,29.1
2017,5,22,19.52
2017,5,23,0.0
2017,5,24,0.0
2017,5,25,0.0
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.2
2017,5,31,0.0
2017,6,1,2.77
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,29.330000000000002
2017,6,6,44.480000000000004
2017,6,7,13.78
2017,6,8,0.0
2017,6,9,0.0
2017,6,10,0.0
2017,6,11,0.0
2017,6,12,0.0
2017,6,13,15.79
2017,6,14,0.8
2017,6,15,0.0
2017,6,16,0.0
2017,6,17,0.0
2017,6,18,0.0
2017,6,19,0.0
2017,6,20,0.2
2017,6,21,0.4
2017,6,22,0.0
2017,6,23,0.0
2017,6,24,0.0
2017,6,25,0.0
2017,6,26,0.0
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.0
2017,6,30,0.0
2017,7,1,0.0
2017,7,2,0.0
2017,7,3,0.4
2017,7,4,0.0
2017,7,5,0.0
2017,7,6,0.0
2017,7,7,0.0
2017,7,8,0.0
2017,7,9,0.0
2017,7,10,0.0
2017,7,11,0.0
2017,7,12,0.0
2017,7,13,0.0
2017,7,14,0.0
2017,7,15,0.0
2017,7,16,0.0
2017,7,17,0.0
2017,7,18,0.0
2017,7,19,0.0
2017,7,20,0.0
2017,7,21,0.0
2017,7,22,0.0
2017,7,23,0.0
2017,7,24,0.0
2017,7,25,0.0
2017,7,26,0.0
2017,7,27,0.0
2017,7,28,0.0
2017,7,29,0.0
2017,7,30,0.0
2017,7,31,0.0
2017,8,1,0.0
2017,8,2,0.0
2017,8,3,1.2000000000000002
2017,8,4,0.2
2017,8,5,1.8
2017,8,6,0.0
2017,8,7,0.0
2017,8,8,0.0
2017,8,9,0.0
2017,8,10,0.0
2017,8,11,0.0
2017,8,12,0.0
2017,8,13,0.0
2017,8,14,0.0
2017,8,15,9.870000000000001
2017,8,16,3.57
2017,8,17,14.620000000000001
2017,8,18,0.2
2017,8,19,5.17
2017,8,20,35.379999999999995
2017,8,21,3.58
2017,8,22,0.0
2017,8,23,0.0
2017,8,24,0.0
2017,8,25,0.0
2017,8,26,0.0
2017,8,27,0.0
2017,8,28,0.0
2017,8,29,0.0
2017,8,30,0.0
2017,8,31,0.0
2017,9,1,0.2
2017,9,2,0.0
2017,9,3,0.0
2017,9,4,0.0
2017,9,5,0.0
2017,9,6,0.0
2017,9,7,0.0
2017,9,8,0.0
2017,9,9,0.0
2017,9,10,0.0
2017,9,11,0.0
2017,9,12,0.0
2017,9,13,0.0
2017,9,14,0.0
2017,9,15,0.0
2017,9,16,0.0
2017,9,17,0.0
2017,9,18,0.0
2017,9,19,0.0
2017,9,20,0.0
2017,9,21,0.0
2017,9,22,0.0
2017,9,23,0.0
2017,9,24,0.0
2017,9,25,0.0
2017,9,26,0.0
2017,9,27,0.0
2017,9,28,0.0
2017,9,29,0.6000000000000001
2017,9,30,22.66
2017,10,1,7.27
2017,10,2,6.92
2017,10,3,1.6
2017,10,4,0.0
2017,10,5,0.0
2017,10,6,0.0
2017,10,7,3.1900000000000004
2017,10,8,1.8
2017,10,9,1.6
2017,10,10,1.2000000000000002
2017,10,11,1.0
2017,10,12,0.6000000000000001
2017,10,13,0.4
2017,10,14,0.2
2017,10,15,0.0
2017,10,16,0.0
2017,10,17,0.0
2017,10,18,0.0
2017,10,19,0.2
2017,10,20,0.0
2017,10,21,1.59
2017,10,22,3.8000000000000003
2017,10,23,0.2
2017,10,24,0.2
2017,10,25,0.0
2017,10,26,6.95
2017,10,27,0.6000000000000001
2017,10,28,0.6000000000000001
2017,10,29,0.4
2017,10,30,0.4
2017,10,31,0.4
2017,11,1,0.2
2017,11,2,0.2
2017,11,3,0.2
2017,11,4,0.4
2017,11,5,0.2
2017,11,6,0.2
2017,11,7,0.2
2017,11,8,0.4
2017,11,9,0.2
2017,11,10,0.2
2017,11,11,0.2
2017,11,12,0.2
2017,11,13,0.2
2017,11,14,0.2
2017,11,15,0.0
2017,11,16,0.0
2017,11,17,2.99
2017,11,18,0.8
2017,11,19,0.2
2017,11,20,0.4
2017,11,21,0.2
2017,11,22,0.4
2017,11,23,0.2
2017,11,24,0.2
2017,11,25,0.2
2017,11,26,0.2
2017,11,27,0.8
2017,11,28,0.8
2017,11,29,0.2
2017,11,30,0.2
2017,12,1,0.2
2017,12,2,0.2
2017,12,3,0.2
2017,12,4,0.2
2017,12,5,0.0
2017,12,6,0.0
2017,12,7,0.8
2017,12,8,0.8
2017,12,9,0.2
2017,12,10,0.0
2017,12,11,0.2
2017,12,12,0.0
2017,12,13,0.2
2017,12,14,0.0
2017,12,15,0.0
2017,12,16,0.0
2017,12,17,0.0
2017,12,18,0.0
2017,12,19,0.0
2017,12,20,12.81
2017,12,21,4.4
2017,12,22,0.8
2017,12,23,0.4
2017,12,24,0.2
2017,12,25,0.2
2017,12,26,0.2
2017,12,27,0.2
2017,12,28,0.2
2017,12,29,0.2
2017,12,30,0.0
2017,12,31,0.2
2018,1,1,0.2
2018,1,2,0.0
2018,1,3,0.2
2018,1,4,0.2
2018,1,5,0.0
2018,1,6,0.0
2018,1,7,0.2
2018,1,8,0.2
2018,1,9,0.0
2018,1,10,0.2
2018,1,11,1.2000000000000002
2018,1,12,4.4
2018,1,13,4.2
2018,1,14,1.8
2018,1,15,0.0
2018,1,16,0.2
2018,1,17,0.2
2018,1,18,0.2
2018,1,19,0.2
2018,1,20,0.2
2018,1,21,0.0
2018,1,22,0.2
2018,1,23,0.0
2018,1,24,0.0
2018,1,25,0.0
2018,1,26,0.0
2018,1,27,0.0
2018,1,28,0.2
2018,1,29,0.0
2018,1,30,0.2
2018,1,31,0.2
2018,2,1,0.4
2018,2,2,0.0
2018,2,3,0.2
2018,2,4,0.0
2018,2,5,0.0
2018,2,6,0.0
2018,2,7,0.0
2018,2,8,0.0
2018,2,9,0.0
2018,2,10,0.0
2018,2,11,13.58
2018,2,12,0.0
2018,2,13,1.2000000000000002
2018,2,14,3.17
2018,2,15,0.6000000000000001
2018,2,16,0.0
2018,2,17,0.0
2018,2,18,0.2
2018,2,19,0.0
2018,2,20,5.13
2018,2,21,1.9799999999999998
2018,2,22,17.229999999999997
2018,2,23,0.6000000000000001
2018,2,24,0.0
2018,2,25,0.0
2018,2,26,56.67
2018,2,27,0.0
2018,2,28,0.0
2018,3,1,0.0
2018,3,2,15.34
2018,3,3,4.95
2018,3,4,3.5500000000000003
2018,3,5,7.71
2018,3,6,5.52
2018,3,7,0.2
2018,3,8,0.6000000000000001
2018,3,9,0.2
2018,3,10,0.0
2018,3,11,0.0
2018,3,12,5.73
2018,3,13,11.38
2018,3,14,6.29
2018,3,15,12.21
2018,3,16,0.0
2018,3,17,0.0
2018,3,18,0.0
2018,3,19,0.79
2018,3,20,42.43
2018,3,21,5.37
2018,3,22,2.9600000000000004
2018,3,23,0.0
2018,3,24,0.0
2018,3,25,0.0
2018,3,26,13.59
2018,3,27,8.09
2018,3,28,12.790000000000001
2018,3,29,15.940000000000001
2018,3,30,16.19
2018,3,31,12.000000000000002
2018,4,1,9.200000000000001
2018,4,2,5.2
2018,4,3,0.6000000000000001
2018,4,4,10.200000000000001
2018,4,5,1.4000000000000001
2018,4,6,0.0
2018,4,7,0.0
2018,4,8,0.0
2018,4,9,0.0
2018,4,10,0.0
2018,4,11,0.0
2018,4,12,0.0
2018,4,13,0.0
2018,4,14,0.0
2018,4,15,30.88
2018,4,16,2.9800000000000004
2018,4,17,0.0
