Year,Month,Precipitation
2017,3,49.45
2017,4,134.35999999999999
2017,5,139.47
2017,6,107.55
2017,7,0.4
2017,8,75.59
2017,9,23.46
2017,10,41.120000000000005
2017,11,10.99
2017,12,22.810000000000002
2018,1,14.600000000000001
2018,2,100.96
2018,3,203.83
2018,4,60.46
2018,5,17.55
2018,6,14.940000000000001
2018,7,12.14
2018,8,25.200000000000003
2018,9,47.72
2018,10,8.4
2018,11,1.82
2018,12,65.36
2019,1,27.98
2019,2,50.220000000000006
2019,3,0.4
2019,4,0.0
2019,5,0.0
2019,6,0.0
2019,7,0.0
2019,8,0.0
2019,9,0.0
2019,10,0.0
2019,11,0.0
2019,12,0.0
2020,2,221.33
2020,3,117.87
2020,4,3.19
2020,5,7.36
2020,6,18.75
2020,7,4.2
2020,8,20.6
2020,9,9.96
2020,10,11.16
2020,11,28.55
2020,12,180.0
2021,1,75.39
2021,2,222.44
2021,3,101.38
2021,4,69.38000000000001
2021,5,46.68
2021,6,8.14
2021,7,24.590000000000003
2021,8,36.28
2021,9,12.030000000000001
2021,10,82.23
2021,11,0.0
2021,12,33.85
2022,1,6.800000000000001
2022,2,20.71
2022,3,223.02
2022,4,20.03
2022,5,6.91
2022,6,0.0
2022,7,0.0
2022,8,0.4
2022,9,0.0
2022,10,0.0
2022,11,0.0
2022,12,0.0
2023,1,0.0
2023,2,0.2
2023,3,0.0
2023,4,48.69
2023,5,55.769999999999996
2023,6,28.310000000000002
2023,7,10.73
2023,8,35.56
2023,9,66.43
2023,10,279.16
2023,11,149.0
2023,12,72.04
2024,1,208.86
2024,2,227.81
2024,3,85.43
2024,4,22.53
2024,5,37.660000000000004
2024,6,0.2
2024,7,67.37
2024,8,53.93
2024,9,20.19
2024,10,40.59
2024,11,55.23
2024,12,193.15
2025,1,136.49
2025,2,22.400000000000002
