Year,Month,Day,Precipitation
2017,3,29,0.2
2017,3,30,0.0
2017,3,31,0.0
2017,4,1,0.0
2017,4,2,0.4
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,8.68
2017,4,7,84.72
2017,4,8,0.0
2017,4,9,0.0
2017,4,10,6.47
2017,4,11,0.0
2017,4,12,1.2000000000000002
2017,4,13,0.2
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,0.2
2017,4,18,0.0
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,12.409999999999998
2017,4,22,4.93
2017,4,23,0.6000000000000001
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,9.08
2017,4,27,0.4
2017,4,28,0.2
2017,4,29,0.0
2017,4,30,0.0
2017,5,1,0.0
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.0
2017,5,5,27.04
2017,5,6,1.9800000000000002
2017,5,7,0.99
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,0.2
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,0.0
2017,5,15,0.0
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,2.38
2017,5,19,56.65
2017,5,20,0.2
2017,5,21,33.65
2017,5,22,20.080000000000002
2017,5,23,0.0
2017,5,24,0.0
2017,5,25,0.0
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.0
2017,5,31,0.0
2017,6,1,0.0
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,33.3
2017,6,6,26.37
2017,6,7,20.29
2017,6,8,0.0
2017,6,9,0.0
2017,6,10,0.0
2017,6,11,0.0
2017,6,12,0.0
2017,6,13,14.99
2017,6,14,1.0
2017,6,15,0.0
2017,6,16,0.0
2017,6,17,0.0
2017,6,18,0.0
2017,6,19,0.0
2017,6,20,0.4
2017,6,21,0.2
2017,6,22,0.0
2017,6,23,0.0
2017,6,24,0.0
2017,6,25,0.0
2017,6,26,0.0
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.0
2017,6,30,0.0
2017,7,1,0.0
2017,7,2,0.0
2017,7,3,0.4
2017,7,4,0.0
2017,7,5,0.0
2017,7,6,0.0
2017,7,7,0.0
2017,7,8,0.0
2017,7,9,0.0
2017,7,10,0.0
2017,7,11,0.0
2017,7,12,0.0
2017,7,13,0.0
2017,7,14,0.0
2017,7,15,0.0
2017,7,16,0.0
2017,7,17,0.0
