Year,Month,Day,Precipitation
2018,3,13,0.0
2018,3,14,0.0
2018,3,15,0.2
2018,3,16,0.0
2018,3,17,0.0
2018,3,18,0.0
2018,3,19,0.2
2018,3,20,6.6
2018,3,21,2.4
2018,3,22,0.6000000000000001
2018,3,23,0.2
2018,3,24,0.0
2018,3,25,0.0
2018,3,26,32.8
2018,3,27,0.4
2018,3,28,29.200000000000003
2018,3,29,3.4
2018,3,30,41.6
2018,3,31,16.400000000000002
2018,4,1,0.8
2018,4,2,1.2000000000000002
2018,4,3,4.6
2018,4,4,7.2
2018,4,5,0.0
2018,4,6,0.0
2018,4,7,0.0
2018,4,8,0.0
2018,4,9,0.0
2018,4,10,0.0
2018,4,11,0.0
2018,4,12,0.0
2018,4,13,0.0
2018,4,14,0.0
2018,4,15,48.0
2018,4,16,5.2
2018,4,17,0.0
2018,4,18,0.0
2018,4,19,0.0
2018,4,20,0.0
2018,4,21,0.0
2018,4,22,0.0
2018,4,23,0.0
2018,4,24,0.0
2018,4,25,0.0
2018,4,26,0.0
2018,4,27,0.0
2018,4,28,0.0
2018,4,29,0.0
2018,4,30,0.0
2018,5,1,0.0
2018,5,2,0.0
2018,5,3,0.0
2018,5,4,0.0
2018,5,5,0.0
2018,5,6,0.0
2018,5,7,0.8
2018,5,8,0.0
2018,5,9,0.0
2018,5,10,0.0
2018,5,11,0.0
2018,5,12,0.0
2018,5,13,0.6000000000000001
2018,5,14,0.0
2018,5,15,0.0
2018,5,16,0.0
2018,5,17,0.0
2018,5,18,0.0
2018,5,19,12.600000000000001
2018,5,20,0.0
2018,5,21,0.0
2018,5,22,0.0
2018,5,23,0.2
2018,5,24,0.0
2018,5,25,0.0
2018,5,26,0.0
2018,5,27,0.0
2018,5,28,0.0
2018,5,29,0.0
2018,5,30,0.2
2018,5,31,0.2
2018,6,1,0.0
2018,6,2,0.0
2018,6,3,1.2000000000000002
2018,6,4,1.2
2018,6,5,0.4
2018,6,6,0.2
2018,6,7,4.0
2018,6,8,2.4
2018,6,9,0.2
2018,6,10,0.0
2018,6,11,0.0
2018,6,12,0.0
2018,6,13,28.599999999999998
2018,6,14,1.0
2018,6,15,0.0
2018,6,16,0.0
2018,6,17,0.2
2018,6,18,0.2
2018,6,19,0.2
2018,6,20,0.0
2018,6,21,0.2
2018,6,22,0.0
2018,6,23,0.0
2018,6,24,0.0
2018,6,25,0.2
2018,6,26,0.0
2018,6,27,0.0
2018,6,28,0.0
2018,6,29,0.0
2018,6,30,0.0
2018,7,1,0.0
2018,7,2,0.0
2018,7,3,0.0
2018,7,4,0.0
2018,7,5,0.2
2018,7,6,0.0
2018,7,7,0.0
2018,7,8,0.0
2018,7,9,0.0
2018,7,10,0.8
2018,7,11,0.2
2018,7,12,0.0
2018,7,13,0.0
2018,7,14,0.0
2018,7,15,0.0
2018,7,16,0.0
2018,7,17,0.0
2018,7,18,0.2
2018,7,19,0.0
2018,7,20,0.0
2018,7,21,0.0
2018,7,22,0.8
2018,7,23,0.0
2018,7,24,0.0
2018,7,25,0.0
2018,7,26,0.0
2018,7,27,0.0
2018,7,28,0.0
2018,7,29,0.0
2018,7,30,0.6000000000000001
2018,7,31,18.2
2018,8,1,3.0
2018,8,2,2.8
2018,8,3,12.4
2018,8,4,0.2
2018,8,5,0.2
2018,8,6,9.6
2018,8,7,0.2
2018,8,8,0.2
2018,8,9,4.3999999999999995
2018,8,10,0.0
2018,8,11,0.0
2018,8,12,0.0
2018,8,13,0.0
2018,8,14,0.0
2018,8,15,0.0
2018,8,16,0.4
2018,8,17,0.8
2018,8,18,0.8
2018,8,19,0.0
2018,8,20,0.0
2018,8,21,0.0
2018,8,22,0.0
2018,8,23,0.0
2018,8,24,0.0
2018,8,25,8.8
2018,8,26,0.8
2018,8,27,0.0
2018,8,28,0.0
2018,8,29,0.0
2018,8,30,0.0
2018,8,31,0.0
2018,9,1,0.0
2018,9,2,0.0
2018,9,3,0.6000000000000001
2018,9,4,1.2
2018,9,5,1.4000000000000001
2018,9,6,0.2
2018,9,7,0.0
2018,9,8,0.0
2018,9,9,0.0
2018,9,10,0.0
2018,9,11,0.0
2018,9,12,0.4
2018,9,13,0.0
2018,9,14,24.599999999999998
2018,9,15,0.6000000000000001
2018,9,16,0.0
2018,9,17,1.6
2018,9,18,0.2
2018,9,19,0.0
2018,9,20,17.6
2018,9,21,5.0
2018,9,22,0.0
2018,9,23,0.2
2018,9,24,0.0
2018,9,25,0.0
2018,9,26,0.0
2018,9,27,4.2
2018,9,28,2.0
2018,9,29,1.6
2018,9,30,95.8
2018,10,1,0.2
2018,10,2,0.0
2018,10,3,1.2
2018,10,4,0.4
2018,10,5,0.0
2018,10,6,3.6
2018,10,7,1.0
2018,10,8,4.2
2018,10,9,6.0
2018,10,10,1.5999999999999999
2018,10,11,2.2
2018,10,12,0.4
2018,10,13,15.0
2018,10,14,1.0
2018,10,15,6.4
2018,10,16,0.8
2018,10,17,2.2
2018,10,18,14.0
2018,10,19,2.8
2018,10,20,4.6000000000000005
2018,10,21,0.0
2018,10,22,0.0
2018,10,23,0.0
2018,10,24,10.6
2018,10,25,8.4
2018,10,26,1.6
2018,10,27,13.8
2018,10,28,1.8
2018,10,29,0.4
2018,10,30,0.0
2018,10,31,15.4
2018,11,1,0.2
2018,11,2,0.2
2018,11,3,2.0
2018,11,4,0.2
2018,11,5,0.6
2018,11,6,0.2
2018,11,7,0.4
2018,11,8,1.4
2018,11,9,0.0
2018,11,10,5.0
2018,11,11,0.0
2018,11,12,0.0
2018,11,13,0.0
2018,11,14,0.0
2018,11,15,0.8
2018,11,16,0.4
2018,11,17,0.0
2018,11,18,1.7999999999999998
2018,11,19,33.4
2018,11,20,0.4
2018,11,21,0.0
2018,11,22,1.6
2018,11,23,13.2
2018,11,24,12.600000000000001
2018,11,25,29.4
2018,11,26,0.8
2018,11,27,0.0
2018,11,28,0.2
2018,11,29,12.200000000000001
2018,11,30,5.2
2018,12,1,52.800000000000004
2018,12,2,0.4
2018,12,3,3.2
2018,12,4,0.0
2018,12,5,0.0
2018,12,6,0.0
2018,12,7,0.0
2018,12,8,2.8000000000000003
2018,12,9,0.2
2018,12,10,0.0
2018,12,11,0.0
2018,12,12,0.0
2018,12,13,26.2
2018,12,14,0.0
2018,12,15,26.0
2018,12,16,0.0
2018,12,17,0.0
2018,12,18,0.6000000000000001
2018,12,19,5.2
2018,12,20,5.4
2018,12,21,0.2
2018,12,22,13.2
2018,12,23,12.799999999999999
2018,12,24,9.8
2018,12,25,0.8
2018,12,26,0.2
2018,12,27,0.0
2018,12,28,5.4
2018,12,29,0.0
2018,12,30,0.2
2018,12,31,0.0
2019,1,1,0.0
2019,1,2,44.400000000000006
2019,1,3,0.0
2019,1,4,37.599999999999994
2019,1,5,38.8
2019,1,6,14.2
2019,1,7,0.2
2019,1,8,0.0
2019,1,9,0.0
2019,1,10,0.0
2019,1,11,6.4
2019,1,12,0.0
2019,1,13,16.599999999999998
2019,1,14,21.599999999999998
2019,1,15,0.0
2019,1,16,0.0
2019,1,17,3.2
2019,1,18,30.2
2019,1,19,1.8
2019,1,20,23.8
2019,1,21,7.2
2019,1,22,0.4
2019,1,23,0.0
2019,1,24,0.0
2019,1,25,27.200000000000003
2019,1,26,0.4
2019,1,27,0.6
2019,1,28,0.0
2019,1,29,0.0
2019,1,30,0.0
2019,1,31,0.0
2019,2,1,0.0
2019,2,2,0.0
2019,2,3,0.0
2019,2,4,103.39999999999999
2019,2,5,1.2
2019,2,6,53.599999999999994
2019,2,7,0.2
2019,2,8,0.0
2019,2,9,0.0
2019,2,10,0.0
2019,2,11,0.0
2019,2,12,18.2
2019,2,13,4.6
2019,2,14,0.4
2019,2,15,30.4
2019,2,16,40.8
2019,2,17,3.0
2019,2,18,0.0
2019,2,19,0.0
2019,2,20,39.6
2019,2,21,33.0
2019,2,22,2.4
2019,2,23,0.2
2019,2,24,0.4
2019,2,25,0.0
2019,2,26,56.2
2019,2,27,11.8
2019,2,28,28.2
2019,3,1,2.6
2019,3,2,6.800000000000001
2019,3,3,40.8
2019,3,4,7.999999999999999
2019,3,5,3.4000000000000004
2019,3,6,59.0
2019,3,7,21.4
2019,3,8,0.2
2019,3,9,0.0
2019,3,10,9.4
2019,3,11,81.6
2019,3,12,0.4
2019,3,13,0.6000000000000001
2019,3,14,5.0
2019,3,15,4.4
2019,3,16,16.2
2019,3,17,17.0
2019,3,18,0.2
2019,3,19,27.6
2019,3,20,15.2
2019,3,21,18.0
2019,3,22,0.2
2019,3,23,0.0
2019,3,24,0.0
2019,3,25,0.2
2019,3,26,0.0
2019,3,27,0.0
2019,3,28,4.0
2019,3,29,1.2
2019,3,30,0.0
2019,3,31,0.0
2019,4,1,0.0
2019,4,2,0.0
2019,4,3,0.0
2019,4,4,0.0
2019,4,5,0.0
2019,4,6,4.6
2019,4,7,4.6000000000000005
2019,4,8,57.0
2019,4,9,33.4
2019,4,10,4.6000000000000005
2019,4,11,0.4
2019,4,12,0.0
2019,4,13,0.0
2019,4,14,8.2
2019,4,15,0.2
2019,4,16,0.4
2019,4,17,0.6000000000000001
2019,4,18,0.0
2019,4,19,0.2
2019,4,20,0.2
2019,4,21,0.0
2019,4,22,2.2
2019,4,23,0.0
2019,4,24,0.0
2019,4,25,0.0
2019,4,26,0.2
2019,4,27,0.0
2019,4,28,35.4
2019,4,29,1.5999999999999999
2019,4,30,0.0
2019,5,1,0.0
2019,5,2,0.0
2019,5,3,0.0
2019,5,4,0.2
2019,5,5,0.0
2019,5,6,0.2
2019,5,7,6.2
2019,5,8,0.2
2019,5,9,0.2
