Year,Month,Precipitation
2018,3,134.0
2018,4,67.0
2018,5,14.6
2018,6,40.2
2018,7,21.0
2018,8,44.6
2018,9,157.20000000000002
2018,10,119.6
2018,11,122.2
2018,12,165.4
2019,1,274.6
2019,2,427.6
2019,3,343.4
2019,4,153.8
2019,5,89.4
2019,6,80.4
2019,7,113.4
2019,8,13.600000000000001
2019,9,77.0
2019,10,35.2
2019,11,98.4
2019,12,124.0
2020,1,246.20000000000002
2020,2,326.2
2020,3,68.0
2020,4,2.6
2020,5,16.2
2020,6,104.6
2020,7,11.8
2020,8,83.0
2020,9,18.0
2020,10,104.6
2020,11,112.0
2020,12,185.8
2021,1,183.6
2021,2,214.2
2021,3,128.6
2021,4,75.6
2021,5,48.0
2021,6,21.0
2021,7,39.4
2021,8,37.4
2021,9,18.8
2021,10,129.6
2021,11,102.8
2021,12,180.6
2022,1,241.6
2022,2,88.8
2022,3,257.6
2022,4,51.800000000000004
2022,5,39.800000000000004
2022,6,34.2
2022,7,8.4
2022,8,44.2
2022,9,151.0
2022,10,108.0
2022,11,135.6
2022,12,121.8
2023,1,205.0
2023,2,293.6
2023,3,220.2
2023,4,113.6
2023,5,53.4
2023,6,37.8
2023,7,15.0
2023,8,48.4
2023,9,93.80000000000001
2023,10,236.4
2023,11,155.6
2023,12,110.6
2024,1,378.2
2024,2,286.0
2024,3,67.0
2024,4,73.6
2024,5,50.2
2024,6,5.2
2024,7,73.0
2024,8,63.4
2024,9,27.2
2024,10,96.8
2024,11,160.8
2024,12,207.20000000000002
2025,1,154.6
2025,2,152.8
