Year,Precipitation
1961,89.4
1962,71.4
1963,73.2
1964,61.8
1965,54.8
1966,87.7
1967,62.1
1968,71.6
1969,72.3
1970,74.3
1971,79.2
1972,90.8
1973,64.1
1974,77.4
1975,67.6
1976,99.4
1977,103.5
1978,78.9
1979,82.8
1980,50.0
1981,75.3
1982,77.8
1983,121.8
1984,64.7
1985,71.0
1986,68.3
1987,91.2
1989,75.8
1990,76.9
1991,106.4
1992,91.1
1993,60.4
1994,106.2
1995,90.6
1996,86.2
1997,70.0
1998,84.0
1999,68.2
2000,62.8
2001,70.2
2002,91.1
2003,60.0
2004,82.8
2006,95.4
2007,103.3
2008,72.4
2009,99.7
2010,90.4
2011,109.5
2012,114.3
2013,75.6
2014,87.1
2015,94.8
2016,102.0
2017,115.0
2018,76.6
2019,123.6
2020,123.0
2021,54.0
2022,54.0
2023,86.6
2024,89.6
