Year,Month,Day,Precipitation
2017,1,1,15.8
2017,1,2,15.2
2017,1,3,32.4
2017,1,4,62.2
2017,1,5,0.0
2017,1,6,2.0
2017,1,7,1.6
2017,1,8,11.0
2017,1,9,0.6
2017,1,10,4.8
2017,1,11,0.2
2017,1,12,3.0
2017,1,13,20.4
2017,1,14,2.6
2017,1,15,0.0
2017,1,16,1.2
2017,1,17,9.8
2017,1,18,14.4
2017,1,19,7.6
2017,1,20,11.2
2017,1,21,17.2
2017,1,22,43.6
2017,1,23,12.0
2017,1,24,9.2
2017,1,25,13.4
2017,1,26,4.0
2017,1,27,23.6
2017,1,28,10.2
2017,1,29,0.0
2017,1,30,0.0
2017,1,31,0.2
2017,2,1,0.0
2017,2,2,8.0
2017,2,3,5.0
2017,2,4,0.0
2017,2,5,0.0
2017,2,6,0.0
2017,2,7,0.0
2017,2,8,0.0
2017,2,9,0.0
2017,2,10,0.0
2017,2,11,0.0
2017,2,12,0.0
2017,2,13,0.0
2017,2,14,0.0
2017,2,15,0.0
2017,2,16,0.0
2017,2,17,0.0
2017,2,18,0.0
2017,2,19,0.0
2017,2,20,0.0
2017,2,21,0.0
2017,2,22,0.0
2017,2,23,0.0
2017,2,24,0.0
2017,2,25,5.4
2017,2,26,0.0
2017,2,27,0.0
2017,2,28,29.0
2017,3,1,44.8
2017,3,2,0.0
2017,3,3,0.0
2017,3,4,0.0
2017,3,5,0.0
2017,3,6,16.6
2017,3,7,0.0
2017,3,8,0.0
2017,3,9,0.0
2017,3,10,0.0
2017,3,11,0.0
2017,3,12,0.0
2017,3,13,0.0
2017,3,14,0.0
2017,3,15,17.0
2017,3,16,0.0
2017,3,17,0.0
2017,3,18,3.2
2017,3,19,18.6
2017,3,20,13.0
2017,3,21,0.0
2017,3,22,0.0
2017,3,23,0.0
2017,3,24,0.0
2017,3,25,11.0
2017,3,26,0.2
2017,3,27,0.0
2017,3,28,0.6
2017,3,29,0.0
2017,3,30,0.0
2017,3,31,0.0
2017,4,1,0.0
2017,4,2,0.0
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,0.0
2017,4,7,9.4
2017,4,8,6.4
2017,4,9,0.0
2017,4,10,0.0
2017,4,11,0.0
2017,4,12,3.4
2017,4,13,5.8
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,0.0
2017,4,18,0.8
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,0.0
2017,4,22,4.6
2017,4,23,3.2
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,0.0
2017,4,27,15.0
2017,4,28,4.0
2017,4,29,0.0
2017,4,30,0.4
2017,5,1,0.2
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.2
2017,5,5,11.2
2017,5,6,12.4
2017,5,7,0.0
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,0.0
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,0.0
2017,5,15,0.4
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,0.0
2017,5,19,18.4
2017,5,20,17.4
2017,5,21,0.0
2017,5,22,21.8
2017,5,23,0.2
2017,5,24,0.0
2017,5,25,0.2
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.2
2017,5,31,0.0
2017,6,1,0.0
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,0.0
2017,6,6,5.0
2017,6,7,3.4
2017,6,8,0.2
2017,6,9,0.4
2017,6,10,4.6
2017,6,11,0.2
2017,6,12,0.0
2017,6,13,2.8
2017,6,14,7.0
2017,6,15,0.0
2017,6,16,0.2
2017,6,17,0.2
2017,6,18,0.0
2017,6,19,0.0
2017,6,20,0.2
2017,6,21,0.0
2017,6,22,0.0
2017,6,23,0.0
2017,6,24,0.0
2017,6,25,0.0
2017,6,26,0.2
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.2
2017,6,30,0.0
