Year,Month,Precipitation
2017,1,349.4
2017,2,47.4
2017,3,125.0
2017,4,53.0
2017,5,82.6
2017,6,24.6
2017,7,1.4000000000000001
2017,8,52.400000000000006
2017,9,33.6
2017,10,148.79999999999998
2017,11,19.799999999999997
2017,12,57.4
2018,1,361.0
2018,2,53.8
2018,3,208.2
2018,4,39.0
2018,5,10.8
2018,6,14.0
2018,7,10.0
2018,8,62.0
2018,9,60.6
2018,10,186.8
2018,11,174.6
2018,12,145.6
2019,1,231.6
2019,2,235.4
2019,3,202.60000000000002
2019,4,69.6
2019,5,87.2
2019,6,24.0
2019,7,62.4
2019,8,23.8
2019,9,42.800000000000004
2019,10,34.4
2019,11,89.2
2019,12,173.0
2020,1,39.199999999999996
