CABra_ID,longitude,latitude,ANA ID,gauge_hreg,gauge_biome,gauge_state,missing_data,series_length,quality_index
1,-64.384,-6.541,,Amazon,Amazon,AM,0.0,30,100.0
2,-66.851,1.215,,Amazon,Amazon,AM,0.0,30,100.0
3,-67.595,1.074,,Amazon,Amazon,AM,0.0,30,100.0
4,-67.313,0.372,,Amazon,Amazon,AM,0.0,30,100.0
5,-69.126,0.477,,Amazon,Amazon,AM,0.0,30,100.0
6,-68.538,0.13,,Amazon,Amazon,AM,0.0,30,100.0
7,-69.786,0.248,,Amazon,Amazon,AM,0.0,30,100.0
8,-66.797,-0.192,,Amazon,Amazon,AM,0.0,30,100.0
9,-64.829,-0.491,,Amazon,Amazon,AM,0.0,30,100.0
10,-61.037,3.446,,Amazon,Amazon,RR,1.11,28,98.96
11,-60.569,3.209,,Amazon,Amazon,RR,0.84,29,99.19
12,-60.529,4.168,,Amazon,Amazon,RR,1.58,27,98.58
13,-61.441,2.876,,Amazon,Amazon,RR,1.38,29,98.67
14,-61.122,1.82,,Amazon,Amazon,RR,1.12,29,98.91
15,-59.329,-3.147,,Amazon,Amazon,AM,0.01,29,99.99
16,-59.354,-15.215,,Amazon,Amazon,MT,6.57,26,94.31
17,-59.96,-15.007,,Amazon,Amazon,MT,0.0,30,100.0
18,-65.349,-10.793,,Amazon,Amazon,RO,0.0,30,100.0
19,-65.367,-9.705,,Amazon,Amazon,RO,9.25,27,91.67
20,-63.068,-9.926,,Amazon,Amazon,RO,1.71,27,98.46
21,-62.985,-9.887,,Amazon,Amazon,RO,0.0,30,100.0
22,-63.288,-9.759,,Amazon,Amazon,RO,0.0,30,100.0
23,-63.711,-8.801,,Amazon,Amazon,RO,2.08,26,98.2
24,-61.193,-11.686,,Amazon,Amazon,RO,5.13,27,95.38
25,-61.936,-10.873,,Amazon,Amazon,RO,5.28,27,95.24
26,-62.055,-8.932,,Amazon,Amazon,RO,5.75,26,95.02
27,-63.016,-7.478,,Amazon,Amazon,AM,1.2,28,98.88
28,-61.303,-5.794,,Amazon,Amazon,AM,0.99,28,99.07
29,-59.465,-10.17,,Amazon,Amazon,MT,2.51,28,97.66
30,-60.592,-7.706,,Amazon,Amazon,AM,0.0,30,100.0
31,-60.647,-7.208,,Amazon,Amazon,AM,0.0,30,100.0
32,-59.056,-6.787,,Amazon,Amazon,AM,0.19,29,99.81
33,-55.958,2.226,,Amazon,Amazon,PA,8.31,25,93.08
34,-55.513,-1.921,,Amazon,Amazon,PA,0.0,30,100.0
35,-54.873,-1.502,,Amazon,Amazon,PA,0.0,30,100.0
36,-58.338,-11.358,,Amazon,Amazon,MT,3.89,28,96.37
37,-57.425,-11.536,,Amazon,Amazon,MT,0.75,28,99.3
38,-55.335,-13.557,,Amazon,Cerrado,MT,1.21,27,98.91
39,-55.703,-11.652,,Amazon,Amazon,MT,8.37,24,93.3
40,-55.569,-10.113,,Amazon,Amazon,MT,6.3,26,94.54
41,-54.905,-9.359,,Amazon,Amazon,PA,4.13,25,96.56
42,-54.887,-9.817,,Amazon,Amazon,MT,0.0,30,100.0
43,-55.953,-4.276,,Amazon,Amazon,PA,3.09,25,97.42
44,-54.397,-1.782,,Amazon,Amazon,PA,0.0,30,100.0
45,-53.559,-3.677,,Amazon,Amazon,PA,7.23,27,93.49
46,-54.659,1.218,,Amazon,Amazon,PA,0.0,30,100.0
47,-54.447,-13.141,,Amazon,Amazon,MT,5.93,23,95.45
48,-51.985,-6.74,,Amazon,Amazon,PA,4.19,27,96.23
49,-54.523,-5.65,,Amazon,Amazon,PA,4.41,23,96.62
50,-52.163,-3.227,,Amazon,Amazon,PA,1.39,29,98.66
51,-52.579,-0.554,,Amazon,Amazon,AP,0.0,30,100.0
52,-52.568,-0.571,,Amazon,Amazon,AP,0.0,30,100.0
53,-48.675,-14.979,,Tocantins-Araguaia,Cerrado,GO,4.52,28,95.78
54,-49.553,-15.275,,Tocantins-Araguaia,Cerrado,GO,0.0,30,100.0
55,-46.837,-13.763,,Tocantins-Araguaia,Cerrado,GO,3.23,29,96.88
56,-47.198,-12.417,,Tocantins-Araguaia,Cerrado,TO,9.27,26,91.96
57,-47.472,-9.994,,Tocantins-Araguaia,Cerrado,TO,0.0,30,100.0
